,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,sabbathen,0.867,ästädningssätt,0.768,samfunds,0.725,samfunds,0.735
1,omgestalta,0.861,parlamentarifla,0.751,själsriktning,0.715,statslifvets,0.719
2,päräknat,0.861,rättssäkerhet,0.749,ntveckling,0.713,själsriktning,0.71
3,framhållande,0.86,kälkborgerlig,0.749,statslifvets,0.708,ntveckling,0.709
4,folkopinion,0.857,regeneration,0.745,missriktning,0.706,förkofring,0.705
5,lojhet,0.855,ädlare,0.744,lifsfrågor,0.701,samhällslifvets,0.705
6,stiftning,0.855,stadeliga,0.743,interesset,0.701,kommersielt,0.702
7,illfundig,0.854,vehikel,0.743,kommersielt,0.7,näringsverksamhet,0.701
8,folkwiljan,0.853,ringaktande,0.741,samhällslifvets,0.699,missriktning,0.701
9,fullkomning,0.853,statsenhet,0.739,interessena,0.688,kulturell,0.699
10,delbar,0.852,undergräfver,0.738,kommerciel,0.686,solidaritetskänsla,0.698
11,föregätt,0.852,interessena,0.737,statssamhälle,0.684,lifsfrågor,0.696
12,wälstånd,0.851,samhällslifwet,0.736,näringsverksamhet,0.683,interesset,0.696
13,kräftskada,0.851,känslostämning,0.735,provinsiell,0.682,statssamhälle,0.696
14,ställö,0.85,medeltida,0.734,kommerciella,0.68,bättrande,0.689
15,inkonstitutionell,0.85,samhällslifvets,0.734,kulturell,0.68,privaträttslig,0.687
16,dagdrifvare,0.849,lifsprincip,0.734,bättrande,0.678,interessena,0.686
17,gagnelighet,0.849,ruttenhet,0.733,grundåskådning,0.678,wetenskaper,0.685
18,fosterländfla,0.849,statsborgerlig,0.733,privaträttslig,0.677,provinsiell,0.685
19,tabellverk,0.848,dimhöljd,0.733,sosiala,0.676,kommerciel,0.684
20,frontförändring,0.847,rättsbegrepp,0.732,solidaritetskänsla,0.674,kommerciella,0.682
21,pätagligt,0.847,frihandelsprincip,0.732,wetenskaper,0.674,kroppsarbetarnes,0.682
22,ifrat,0.846,samhällighet,0.732,samhällsintresse,0.672,sosiala,0.681
23,otydlighet,0.846,literärt,0.731,rättssäkerhet,0.672,rättssäkerhet,0.681
24,samhållet,0.846,individuel,0.731,undervisningssystem,0.672,samhällsintresse,0.681
25,kosmopolitisk,0.846,själsbildning,0.73,utplånande,0.671,näringslifvets,0.68
26,hufvudlös,0.846,herrfla,0.729,humanitär,0.671,utplånande,0.676
27,knapphet,0.846,ensidigheter,0.729,samhällslifvet,0.67,mejerihandteringens,0.676
28,digare,0.846,tankefrihet,0.729,näringslifvets,0.669,undervisningssystem,0.676
29,tydliggöra,0.845,heterogen,0.728,statsborgerlig,0.668,samfundsförhållandena,0.675
30,hanseende,0.845,rättsprincip,0.728,samhörighetskänsla,0.667,humanitär,0.675
31,äsyfta,0.845,samhällsförbättring,0.727,statsenhet,0.667,ingrepe,0.674
32,harden,0.845,ideerna,0.727,oförvitlighet,0.666,grundåskådning,0.673
33,väldeliga,0.845,nomiska,0.727,lekmanna,0.666,statsenhet,0.672
34,annau,0.845,samhällsmakt,0.727,verldsåskådningen,0.665,samhörighetskänsla,0.67
35,oundwikligen,0.845,indifferent,0.726,ingrepe,0.664,uttveckling,0.67
36,maktmissbruk,0.844,instinktlik,0.725,regeneration,0.664,lifsvillkor,0.67
37,wadliga,0.844,osjelfständighet,0.725,samhällig,0.662,lekmanna,0.669
38,siett,0.844,ideell,0.725,kroppsarbetarnes,0.662,samhällsutveckling,0.669
39,humbug,0.844,interesset,0.723,samhällsorganism,0.661,medborgareklasser,0.669
40,afstaffas,0.844,missriktning,0.723,kommersiel,0.66,samkänsla,0.669
41,allmängiltig,0.844,invertes,0.723,hånseende,0.659,förderflighet,0.668
42,utiveckling,0.844,wadliga,0.722,lifsvillkor,0.658,arbetsaftal,0.667
43,ätlöje,0.844,näringsverksamhet,0.722,oförenlighet,0.658,regeneration,0.666
44,deitill,0.843,lekmanna,0.722,förderflighet,0.658,kommersiel,0.666
45,omsäng,0.843,lifskraftig,0.722,humanism,0.657,samhällsorganism,0.666
46,inveckladt,0.843,upwäcka,0.722,mejerihandteringens,0.657,oförvitlighet,0.666
47,tilräckeligen,0.843,samhällslif,0.721,lärosystem,0.656,verldsåskådningen,0.665
48,flathet,0.843,samfunds,0.721,samfundsförhållandena,0.655,statsborgerlig,0.665
49,tänkom,0.843,kastanda,0.721,förkofring,0.655,undergräfvande,0.664
50,frenologi,0.843,retrograd,0.721,nationallynne,0.654,enskiltes,0.663
51,enö,0.843,kulturförhållanden,0.721,utvecklingsgång,0.654,samhällig,0.663
52,decimalbråk,0.842,likaberättigande,0.721,social,0.653,facklig,0.663
53,symmetrisk,0.842,machinationer,0.721,samhällsutveckling,0.653,existence,0.662
54,samhällighet,0.842,rättstillstånd,0.72,interessen,0.653,kreditväsen,0.661
55,färgläggning,0.842,fyrdelning,0.72,ideell,0.652,samhällslifwet,0.661
56,owigtiga,0.842,statsinstitution,0.72,fredssakens,0.652,nationalanda,0.66
57,sqwaller,0.842,näringstvång,0.719,samkänsla,0.652,utdaning,0.658
58,machinationer,0.842,obskurantism,0.719,kontinuitet,0.652,kåranda,0.658
59,jordegande,0.842,islamitisk,0.719,enskiltes,0.651,fredssakens,0.657
60,öfwerskott,0.842,sjelfbestånd,0.718,meuskliga,0.651,sjelfbestämmelserätt,0.657
61,fortjenar,0.842,följdriktighet,0.718,samhällsinstitution,0.651,näringstvång,0.657
62,rigtigare,0.842,granlagenhet,0.718,uttveckling,0.651,driffjädern,0.656
63,fåvitsk,0.842,partiledare,0.718,vetenska,0.651,samhällsinstitution,0.655
64,anarkist,0.841,saknande,0.717,bibeltolkning,0.65,meuskliga,0.655
65,positif,0.841,öfwerdrifter,0.717,nationalanda,0.65,oförenlighet,0.655
66,ilise,0.841,själsarbete,0.717,utdaning,0.649,humanism,0.655
67,päpekade,0.841,organista,0.717,näringstvång,0.647,kontinuitet,0.655
68,alltförmycket,0.841,afledare,0.716,statssystem,0.647,lärosystem,0.654
69,återhåll,0.841,alstringskraft,0.716,gestaltning,0.647,samhällslif,0.653
70,werlande,0.841,ofrihet,0.716,kulturförhållanden,0.647,ekono,0.653
71,clerus,0.841,prohibition,0.715,medborgareklasser,0.646,liffullt,0.653
72,tillfredställa,0.841,uttveckling,0.715,likaberättigande,0.646,hånseende,0.653
73,förtröttas,0.841,embetsmannavälde,0.715,arbetshåg,0.646,allmänbilda,0.653
74,kittslighet,0.84,statsintresse,0.715,sjelfbestämmelserätt,0.646,ideell,0.653
75,konungaätt,0.84,folkmening,0.714,existence,0.645,interessen,0.652
76,klanderwärdt,0.84,kommersiel,0.714,vigtigastc,0.645,samhällslifvet,0.652
77,tyivärr,0.84,framskridande,0.714,förnuftsenlig,0.645,föreningsväsende,0.652
78,öfvertygadt,0.84,statsvetenskaplig,0.714,samhällslifwet,0.645,själfbestämningsrätt,0.652
79,newton,0.84,förnuftsenlig,0.714,undergräfvande,0.644,nationallynne,0.651
80,mägtigaste,0.84,maktlystnad,0.713,samhörighet,0.644,stägtets,0.651
81,följdriktig,0.84,styrande,0.713,esthetiska,0.643,fördärfliga,0.651
82,järtecken,0.839,rättslöshet,0.713,arbetarefrågan,0.643,bibeltolkning,0.648
83,sammanflyta,0.839,haltlöshet,0.713,hufvudgren,0.643,osjelfständiga,0.648
84,minflning,0.839,socialistifla,0.712,samhällslif,0.642,ästädningssätt,0.647
85,fördömande,0.839,partiintresse,0.712,ekono,0.642,magtställning,0.646
86,civilrätt,0.839,spekulationsandan,0.712,osjelfständiga,0.642,konstitutiv,0.646
87,organista,0.839,stäfjande,0.712,driffjädern,0.642,förnuftsenlig,0.646
88,underwisningcn,0.839,ntwcckling,0.712,allmänbilda,0.642,kulturförhållanden,0.646
89,finaneiella,0.839,famwerkan,0.711,enhetlig,0.641,gestaltning,0.645
90,hviken,0.839,förderflighet,0.711,folklager,0.641,valprincipen,0.645
91,framtidsman,0.839,underlägsenhet,0.711,stägtets,0.64,adelstitel,0.645
92,ssog,0.838,osjelfständiga,0.711,konstitutiv,0.64,antiseptik,0.645
93,representantkammare,0.838,samhällslag,0.71,kåranda,0.64,arbetshåg,0.644
94,hwardagliga,0.838,fredspolitik,0.71,ädlare,0.64,vigtigastc,0.644
95,förhällanderne,0.838,konstitutiv,0.71,utrikespolitisk,0.64,nomisk,0.644
96,korrumpera,0.838,korrumpera,0.709,utvecklingslära,0.64,jemnlikheten,0.644
97,fjelft,0.838,slagord,0.709,uppfattningssätt,0.637,associationsanda,0.644
98,uräldriga,0.838,filantropi,0.709,jemnlikheten,0.637,samfundsordning,0.643
