,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,mal,0.857,äckta,0.701,heinrich,0.635,swenstt,0.602,swenst,0.619,swenst,0.754,swenfl,0.689,swenfl,0.689
1,berömd,0.854,öfwersättning,0.687,salies,0.634,swenff,0.599,swenff,0.549,swenfl,0.707,swenst,0.677,swenst,0.677
2,koni,0.852,kopparstycke,0.673,praktisk,0.634,utländffa,0.589,swenstt,0.536,swensta,0.579,swenska,0.632,swenska,0.632
3,borgerskap,0.847,nicolai,0.671,swenssa,0.632,latinsta,0.572,swenfl,0.536,engelst,0.558,norst,0.619,norst,0.619
4,moral,0.839,commitzion,0.67,silverstolpes,0.631,swenst,0.55,undersäte,0.519,swcnst,0.543,swensta,0.586,swensta,0.586
5,ände,0.836,variation,0.664,lexicon,0.629,postilla,0.546,utländst,0.514,norst,0.541,fwenst,0.578,fwenst,0.578
6,huruledes,0.834,bibel,0.66,utterö,0.627,swenska,0.527,swcnst,0.5,norfl,0.54,fwenfl,0.573,fwenfl,0.573
7,eländig,0.834,porträtt,0.66,piecen,0.622,nysi,0.524,swenskt,0.499,fwenfl,0.538,swenfka,0.569,swenfka,0.569
8,ansenligen,0.834,lexicon,0.658,boklsda,0.621,franst,0.52,kabinettsbibliothek,0.494,danst,0.537,swenskt,0.566,swenskt,0.566
9,härkomst,0.831,utkast,0.657,botanik,0.617,isländsk,0.52,utländffa,0.492,fwenst,0.537,amerikanst,0.563,amerikanst,0.563
10,docka,0.83,sedolära,0.654,arboreens,0.615,perlstil,0.519,franst,0.482,fwenska,0.536,fwenfla,0.563,fwenfla,0.563
11,majit,0.83,drame,0.65,öfwersättning,0.611,swenffa,0.519,swenffa,0.48,danfl,0.536,danfl,0.561,danfl,0.561
12,angå,0.83,mann,0.646,arbor,0.61,pommeranser,0.518,swenfla,0.48,swcnska,0.533,utländst,0.552,utländst,0.552
13,upmärksamhet,0.83,forte,0.645,aftryck,0.609,utterö,0.515,öfwersatt,0.479,amerikanst,0.527,swenfla,0.552,swenfla,0.552
14,ämbets,0.829,utterö,0.645,lexikon,0.608,botanik,0.514,utländfl,0.474,swenfka,0.524,swenstt,0.546,swenstt,0.546
15,ocb,0.829,utters,0.644,justanders,0.608,kopparstycke,0.512,norst,0.472,sweuska,0.523,norfla,0.543,norfla,0.543
16,förhoppning,0.828,collega,0.64,aderton,0.608,finst,0.511,hitkommit,0.47,swensia,0.521,fwenfka,0.539,fwenfka,0.539
17,violin,0.828,öfwersatt,0.64,compis,0.606,äckta,0.509,witter,0.469,sweust,0.518,swcnska,0.533,swcnska,0.533
18,afhandling,0.826,simon,0.639,äckta,0.604,arboreens,0.509,marindepartement,0.462,swenstt,0.516,sweuska,0.531,sweuska,0.531
19,stats,0.826,götze,0.639,predikning,0.604,koncept,0.509,lefwandc,0.462,franst,0.515,fwensta,0.529,fwensta,0.529
20,salta,0.825,lärorik,0.638,wolff,0.602,swenskt,0.508,swensta,0.462,utländst,0.514,franfl,0.529,franfl,0.529
21,tegel,0.825,piecen,0.638,fyrbergs,0.601,scdnaste,0.507,waldt,0.461,engelfl,0.514,swcnst,0.526,swcnst,0.526
22,fak,0.825,jerusalem,0.638,koncept,0.601,renett,0.506,swcnska,0.46,swenflt,0.513,swensi,0.525,swensi,0.525
23,stig,0.824,adolf,0.638,ulrichs,0.6,swenjka,0.505,swenska,0.46,undersäte,0.507,undersäte,0.525,undersäte,0.525
24,wälmening,0.823,1778,0.638,läsebok,0.6,witter,0.504,latinsta,0.457,franfl,0.505,swensia,0.523,swensia,0.523
25,wärl,0.823,iil,0.637,regal,0.6,justanders,0.504,benedig,0.456,swenska,0.504,engelfl,0.522,engelfl,0.522
26,ec,0.823,bistopen,0.637,löhr,0.6,swenssa,0.504,swerges,0.456,swenssa,0.494,sweust,0.521,sweust,0.521
27,blandning,0.823,epistel,0.637,bruzelii,0.6,kyrkohistoria,0.504,engelff,0.454,sivenst,0.492,sinfla,0.517,sinfla,0.517
28,framsteg,0.823,högmässa,0.636,fälies,0.598,heinrich,0.502,finst,0.454,swenskt,0.492,norfle,0.517,norfle,0.517
29,förbehålla,0.823,adolphs,0.635,öfwersatt,0.598,skolbok,0.5,ntgifwit,0.45,fwenstt,0.491,danst,0.516,danst,0.516
