,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,tänkande,0.875,arghet,0.72,förhållanderne,0.617,reformfråga,0.547,regeringssystem,0.643,utrikespolitik,0.721,utrikespolitik,0.682
1,orimlighet,0.871,magnetism,0.704,omstörta,0.615,förutseende,0.545,utrikespolitik,0.61,inrikespolitik,0.671,inrikespolitik,0.655
2,fördölja,0.868,wälmening,0.702,beherrskare,0.606,biläggning,0.541,militärorganisation,0.609,kyrkopolitik,0.66,kyrkopolitik,0.641
3,enstilta,0.865,strifter,0.701,rättstillstånd,0.604,napoleonska,0.536,fredspolitik,0.609,kolonialpolitik,0.638,kretsame,0.63
4,strifter,0.864,rättskaffens,0.7,pånyttfödelse,0.603,dödsstöt,0.532,angelägenheterne,0.604,unionspolitik,0.633,tremaktsförbundets,0.625
5,inwärtes,0.863,uplysta,0.699,styrelseform,0.599,förhållanderne,0.531,schackdrag,0.601,tripelallians,0.629,tripelallians,0.623
6,ådagalägga,0.863,uppriktighet,0.697,sympati,0.598,handelspolitik,0.527,eröfringslystnad,0.599,regeringspress,0.623,ytterlighetsparti,0.62
7,förgäten,0.862,utwärtes,0.692,integritet,0.598,statsskick,0.527,återupprättelse,0.598,partiledning,0.623,krigspolitik,0.618
8,åtlöje,0.861,christne,0.691,diplomatik,0.595,tillintetgörelse,0.527,turkvänlig,0.598,fredspolitik,0.622,unionspolitik,0.616
9,utwärtes,0.86,swedenborg,0.689,demokratisk,0.59,rättstillstånd,0.525,handelspolitik,0.597,kretsame,0.615,äfventyrspolitik,0.615
10,dagsljus,0.859,förgäten,0.688,intereste,0.589,vigtigasle,0.523,liberalism,0.597,författningsstrid,0.614,vensterparti,0.615
11,flör,0.859,oföränderlig,0.687,högsint,0.588,arfföljd,0.522,bismarckska,0.596,tonkinfrågan,0.609,reformparti,0.613
12,patriotism,0.857,förord,0.684,sympathier,0.587,koncession,0.522,dualism,0.593,handelspolitik,0.609,mönsterland,0.608
13,odygd,0.857,philosophi,0.683,reformera,0.585,statsförbund,0.522,tillmöteskommande,0.59,krigspolitik,0.607,tonkinfrågan,0.607
14,förlika,0.856,rättwist,0.683,sansad,0.583,halfofficiella,0.521,styrelsesystem,0.588,tullpolitik,0.604,balkanfrågan,0.607
15,wälmening,0.855,dikt,0.683,krigstillstånd,0.582,oefterrättlig,0.521,trekejsarförbundet,0.585,regeringssystem,0.603,utrikesangelägenheterna,0.604
16,maner,0.855,almänhet,0.683,monarkisk,0.582,diplomatik,0.52,kongressförslag,0.585,rikskanslärens,0.602,kolonialpolitik,0.603
