,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,raffinad,0.88,olifant,0.904,omslagspapper,0.705,kopie,0.676,konsept,0.573,konsept,0.574
1,median,0.879,karduspapper,0.882,olifant,0.686,läska,0.669,concept,0.543,concept,0.544
2,karduspapper,0.873,kardus,0.875,munlack,0.685,concept,0.649,ritpapper,0.527,ritpapper,0.529
3,oliver,0.869,skedvatten,0.855,velin,0.676,läsk,0.642,läskpapper,0.524,annotationsbok,0.529
4,tamburgarn,0.868,median,0.854,median,0.673,konsept,0.634,annotationsbok,0.521,läskpapper,0.528
5,krakmandel,0.866,velin,0.842,enfärgad,0.669,makulaturpapper,0.624,kardus,0.511,kardus,0.513
6,saffran,0.866,tusch,0.833,marmoreradt,0.668,median,0.614,median,0.501,median,0.504
7,llll,0.865,tamburgarn,0.833,ritpapper,0.667,olifant,0.613,kopiebok,0.495,kopiebok,0.493
8,winglas,0.864,kanister,0.83,guldborder,0.666,kardus,0.605,hamppapper,0.488,hamppapper,0.488
9,skänsta,0.86,japansk,0.826,maculatur,0.666,ritpapper,0.593,kopie,0.486,kopie,0.485
10,rappe,0.858,kardustobak,0.822,pennskaft,0.661,brefkuvert,0.587,olifant,0.485,hopvika,0.481
11,gummi,0.854,schellack,0.821,karduspapper,0.659,sockeromslags,0.586,hopvika,0.481,blyertspenna,0.48
12,rägmjöl,0.854,shirting,0.82,bokmärke,0.657,läskpapper,0.585,papperspåse,0.475,papperspåse,0.477
13,kras,0.853,skrifpapper,0.819,segelgarn,0.65,papperspåse,0.58,olifantpapper,0.474,olifantpapper,0.475
14,tusch,0.852,slamma,0.819,oblat,0.648,karduspapper,0.571,blyertspenna,0.469,brefkuvert,0.474
15,pomerans,0.852,safflor,0.819,postpapper,0.648,spänn,0.567,kvittens,0.464,pappersark,0.467
16,terpentin,0.851,postpapper,0.818,pergament,0.647,hamppapper,0.565,kontext,0.463,kontext,0.465
17,förtulla,0.85,gardintyg,0.817,hårolja,0.646,spännpapper,0.562,papper,0.462,pappersblad,0.46
18,citronsaft,0.849,marmorera,0.816,cardus,0.644,skrifpapper,0.557,pappersark,0.461,läsk,0.458
19,swenjka,0.847,canel,0.816,makulatur,0.641,kopiebok,0.553,brefkuvert,0.459,handskrifna,0.457
20,nare,0.846,roffrö,0.816,redikyl,0.641,filigraneradt,0.547,handskrifna,0.458,kuvert,0.457
21,äckta,0.846,blyertspenna,0.814,jerneffekter,0.639,makulatur,0.539,tullinlaga,0.457,olifant,0.456
22,parkum,0.844,champignon,0.813,korkskruf,0.636,biljettpapper,0.538,pappersblad,0.456,filtrerpapper,0.456
23,handstar,0.843,salmiak,0.813,visitkort,0.636,postpapper,0.535,filtrerpapper,0.453,manuskript,0.455
24,grönmälad,0.842,inslag,0.813,ininga,0.636,linieradt,0.535,kassabok,0.452,tullinlaga,0.455
25,bittermandel,0.842,kamelhår,0.812,skrifställ,0.635,cardus,0.526,silkepapper,0.452,silkepapper,0.452
26,lumpsocker,0.839,wästtyger,0.812,prässade,0.634,silkessnöre,0.522,försvarsskrift,0.45,kvittens,0.45
27,regal,0.838,lumpa,0.811,damascherade,0.634,reversböcker,0.519,annotation,0.449,försvarsskrift,0.45
28,perlgryn,0.838,berlinerblå,0.81,färglåda,0.633,adresslapp,0.517,läsk,0.448,makulaturpapper,0.447
29,swenskt,0.838,vinsten,0.81,läskpapper,0.633,ogenomskinlig,0.514,makulaturpapper,0.448,karduspapper,0.447
30,pudersocker,0.838,georgia,0.81,brefpress,0.633,couverter,0.514,kuvert,0.447,nedskref,0.446
31,helgryn,0.835,gurkmeja,0.81,blyerts,0.633,kontorsböcker,0.512,skrifvelserna,0.447,annotation,0.446
32,mjölkbunke,0.835,fernbock,0.81,cosmetique,0.632,keromslags,0.511,karduspapper,0.445,räkningsblanketter,0.446
33,norrst,0.834,terpentin,0.809,shavlar,0.631,glättadt,0.51,uteflutit,0.445,skrifvelserna,0.444
34,nypon,0.834,romin,0.807,periskopisk,0.63,hamp,0.509,anmanings,0.445,uteflutit,0.443
35,postpapper,0.834,bomullsduk,0.807,brefpapper,0.63,omslagspapper,0.506,manuskript,0.444,reversböcker,0.443
36,liera,0.834,borax,0.807,tobaksdosa,0.629,linjera,0.505,reversböcker,0.444,anmanings,0.443
37,sprita,0.833,knappnål,0.806,muslin,0.629,laska,0.504,nedskref,0.443,speceripåsar,0.442
38,uägra,0.833,rofolja,0.805,elddon,0.628,brefpapper,0.501,hemlandsvännen,0.44,protokollsböcker,0.442
39,stälp,0.833,cinober,0.804,kaffeböna,0.627,landsberg,0.5,papperskorg,0.439,kassabok,0.441
40,sagogryn,0.833,pudersocker,0.803,théel,0.627,bokpapper,0.5,speceripåsar,0.439,griffeltafla,0.44
41,flastor,0.832,krakmandel,0.803,skrifböcker,0.626,stålpenna,0.499,protokollsböcker,0.439,bläckhorn,0.44
42,gåsbröst,0.831,gummi,0.802,yllefransar,0.625,konceptpapper,0.499,breswet,0.439,sockeromslags,0.439
43,kolorera,0.831,saffran,0.802,bomullsparaplyer,0.625,hopvika,0.498,brefwen,0.438,brefwen,0.439
44,preparera,0.831,superfin,0.802,rökkort,0.625,velin,0.498,brefbok,0.438,brefven,0.439
45,kopparstycke,0.831,bleckarbete,0.802,munlim,0.625,spännpapp,0.498,detaljuppgift,0.437,pennskaft,0.438
46,sjerdedels,0.83,vaxduk,0.802,blårutig,0.624,copieböcker,0.498,portmonnäen,0.437,breswet,0.438
