,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,rodney,0.881,lucien,0.718,kamar,0.697,förbundsförsamling,0.64,representanthus,0.649,representantkammare,0.677,ekonomidepartement,0.653
1,lefwerera,0.864,directorium,0.713,senator,0.668,lagutkast,0.624,representantkammare,0.644,deputeradekammare,0.66,trarieux,0.637
2,beflutat,0.855,ständerne,0.713,reformera,0.662,ständerförsamling,0.623,deputeradekammaren,0.636,trarieux,0.649,deputeradekammare,0.617
3,brittisk,0.854,underhus,0.707,fueros,0.662,afdanka,0.614,nationalförsamling,0.634,deputeradekammaren,0.643,representantkammare,0.615
4,dey,0.85,grenville,0.702,nedsättande,0.658,directorium,0.609,generalråd,0.624,budgetutskott,0.637,förbundsförsamling,0.613
5,marchen,0.847,talleyrand,0.701,montalivet,0.657,deputeradekammaren,0.608,ständerförsamling,0.62,listomröstningen,0.636,deputeradekammaren,0.61
6,rytzland,0.847,bulletin,0.696,cortez,0.657,riksföreståndare,0.607,lagstifta,0.619,representanthus,0.635,lagting,0.606
7,garantera,0.845,castlereagh,0.695,wienska,0.657,belägringstillstånd,0.607,deputeradekammare,0.614,deputeradekammarens,0.624,statsministerium,0.603
8,ministeren,0.844,konferens,0.69,soults,0.652,handelsminister,0.604,pärskammare,0.612,statsministerium,0.621,deputeradekammarens,0.603
9,schwaben,0.843,strifwelse,0.688,molé,0.651,pärs,0.603,anklagelsetillstånd,0.6,revisionsförslag,0.618,revisionsförslag,0.595
10,furst,0.842,majrst,0.687,doktrinär,0.651,badiska,0.599,roebuck,0.595,förbundsförsamling,0.615,militärutskott,0.591
11,residera,0.842,potemkin,0.687,pärs,0.651,monsignore,0.598,kassationsdomstol,0.594,budgetsutskottet,0.615,budgetutskott,0.59
12,sultan,0.841,moreau,0.685,directorium,0.649,serbien,0.596,förbundsförsamling,0.587,ekonomidepartement,0.613,representanthus,0.59
13,krigsrustning,0.841,kongress,0.683,konseljpresident,0.648,memorandum,0.595,ajournering,0.587,ribot,0.609,listomröstningen,0.587
14,förgift,0.84,wigliga,0.683,dupin,0.648,proclamation,0.594,senatsbeslut,0.586,legislatur,0.609,förbundsråd,0.585
15,ammiral,0.838,whitworth,0.682,pärskammare,0.648,centralmakt,0.594,duvernois,0.586,lagting,0.608,landtdag,0.579
16,bewiljat,0.838,miranda,0.68,cousin,0.646,envojé,0.594,ollivier,0.585,riksparlamentet,0.601,lacour,0.574
17,afrest,0.837,äterkomst,0.68,landtdag,0.644,moldaus,0.593,landsthinget,0.584,militärutskott,0.599,tullutskottet,0.573
18,kommendera,0.837,cardinal,0.678,grenville,0.642,klausul,0.593,herrehus,0.584,lacour,0.598,picards,0.571
19,skingra,0.836,fältmarskalk,0.677,framställdt,0.642,budstap,0.591,municipalråd,0.583,depu,0.597,budgetsutskottet,0.571
20,ernar,0.836,proklamation,0.677,prorogation,0.641,prorogation,0.591,minghetti,0.581,pärskammare,0.597,deputeradekam,0.571
21,sages,0.836,metternich,0.677,bjudning,0.641,fueros,0.59,adressdebatt,0.58,cortes,0.593,budgetsutskottets,0.571
22,depecher,0.836,fördrag,0.677,sheridan,0.64,utrikesminister,0.589,cortes,0.58,tullutskottet,0.593,justitieministerium,0.571
23,beflutit,0.835,declaration,0.676,declaration,0.639,pärskammare,0.589,konvent,0.58,budgetsutskottets,0.592,cortes,0.571
24,rycktet,0.835,suwarow,0.676,envojé,0.639,hospodar,0.588,landdag,0.58,adressförslag,0.589,pärskammare,0.57
25,bonaparte,0.834,hawkesbury,0.673,presidera,0.638,förbundsråd,0.586,folkethinget,0.579,picards,0.588,odelsting,0.57
26,preussisk,0.833,rystland,0.672,metternich,0.637,note,0.585,senator,0.579,riksdagsutskott,0.588,legislatur,0.564
27,preutzen,0.832,hoswet,0.669,silva,0.636,kandidatur,0.583,forckenbeck,0.579,mairernas,0.587,depu,0.563
28,utrustning,0.832,häröfwer,0.669,presidentskap,0.636,schmerling,0.583,förbundsråd,0.577,deputeradekam,0.586,ständerförsamling,0.562
29,maynz,0.831,deputation,0.669,grey,0.636,declaration,0.583,floquet,0.577,rekryteringslag,0.585,statssekretariat,0.561
30,eskader,0.831,päfwen,0.669,regentskap,0.636,antonelli,0.582,lepére,0.577,dufaures,0.585,kultusbudgeten,0.559
31,böhmen,0.831,westphalen,0.668,kongress,0.636,minisléren,0.582,lagutkast,0.575,förbundsråd,0.584,odelsthinget,0.559
32,defensiv,0.831,wägrade,0.668,regentinna,0.635,regering,0.58,bulgaris,0.573,ständerförsamling,0.582,ribot,0.558
33,traktat,0.831,conference,0.667,iför,0.635,truppernes,0.578,republikanaren,0.572,labiches,0.581,folkething,0.558
34,nelson,0.83,arthur,0.667,jackson,0.635,congressen,0.578,baroche,0.571,kultusbudgeten,0.58,nationalråd,0.557
35,uptäckt,0.83,addington,0.667,teste,0.634,vallag,0.577,deputeranden,0.571,kommunalråd,0.58,folkethinget,0.556
36,folkflag,0.83,formligen,0.666,broglie,0.633,generalkapten,0.577,ferrys,0.57,teradekammaren,0.579,undervisningsråd,0.556
37,constitutionen,0.83,ministeren,0.665,guizot,0.633,underhandlare,0.577,lyckönskningsadress,0.569,nationalråd,0.579,herrehus,0.555
38,nationalförsamling,0.829,utnämning,0.665,residera,0.632,marocco,0.576,adressförslag,0.569,undersöknings,0.578,mairernas,0.555
39,algier,0.828,vii,0.664,dagordning,0.632,kansas,0.576,martos,0.568,magnathuset,0.578,landsthinget,0.554
40,flutat,0.828,crhällit,0.663,palmerston,0.632,bestickning,0.575,hayes,0.568,landsthinget,0.576,ajournering,0.553
41,chur,0.827,mortier,0.663,stanley,0.632,nationalförsamling,0.575,ministerrädet,0.568,socialistlag,0.576,senatsutskott,0.553
42,dristighet,0.827,bey,0.662,angelägenheterne,0.632,cortez,0.574,castelar,0.567,regeringskommission,0.576,militärkommission,0.552
43,mayland,0.827,höfwen,0.662,utnämnande,0.631,gioberti,0.572,rouher,0.565,naquet,0.576,riksparlamentet,0.552
44,ärhällit,0.826,proclamation,0.661,hawkesbury,0.631,bådskap,0.571,ståthållarskap,0.564,silfverlagen,0.574,rekryteringslag,0.551
45,commendanten,0.825,konvention,0.661,tullsystem,0.631,schwarzenberg,0.568,tilläggsartikel,0.564,generalråd,0.574,verensstämmelse,0.551
46,afsatt,0.825,marocco,0.661,almeida,0.63,lauenburg,0.568,decazes,0.563,presslag,0.574,labiches,0.551
47,laudon,0.825,herbert,0.661,congressen,0.63,uppbäfvande,0.568,understatssekreterare,0.563,seinedepartementet,0.573,partidag,0.55
48,tractaten,0.825,päfwens,0.66,ambassadör,0.63,angelägenheterne,0.567,lagstiftande,0.563,specialdebatt,0.573,revisionsutskott,0.549
49,officerare,0.824,ney,0.66,throntalet,0.629,kären,0.567,clemenceau,0.563,regeridgen,0.573,adressförslag,0.549
50,öfwergifwa,0.824,jefferson,0.659,addington,0.629,cabral,0.567,grövy,0.562,senator,0.572,socialistlag,0.548
51,venedig,0.824,spanste,0.659,potemkin,0.628,riksråd,0.567,picards,0.561,millerand,0.572,riksdagsutskott,0.548
52,cöln,0.824,hufwudsakligen,0.659,ultimatum,0.628,wienska,0.567,dufaures,0.561,författningsrevision,0.572,regeringskommission,0.548
53,lofwat,0.824,fäges,0.659,handbref,0.628,konseljpresident,0.567,störtande,0.561,folkethinget,0.572,handelsdepartement,0.548
54,republikan,0.823,proposition,0.658,vägran,0.627,presslag,0.566,kommunalråd,0.561,regering,0.572,senator,0.546
55,förestälde,0.823,moniteuren,0.658,lucien,0.627,upphäfdt,0.565,cortesförsamlingen,0.56,senatsutskott,0.572,leroyer,0.545
56,bestämmelse,0.823,turkiste,0.658,påyrka,0.627,gesandlen,0.564,presi,0.56,jaurés,0.571,kommunalråd,0.544
57,fräsan,0.823,ambassadör,0.657,pasquier,0.627,regentskap,0.564,voterad,0.559,odelsthinget,0.57,undersökningskommission,0.544
58,gzr,0.823,palermo,0.657,lafitte,0.626,centralregering,0.564,conseil,0.558,tvångsbillen,0.57,undersöknings,0.543
59,stagit,0.823,sachsen,0.656,utmana,0.626,provisorista,0.562,palikao,0.558,skupschtinan,0.568,teradekammaren,0.543
60,utspridt,0.823,förrgär,0.656,förberedt,0.626,prorogera,0.561,niévre,0.558,bardoux,0.567,specialdebatt,0.542
61,xiv,0.823,note,0.656,ministrame,0.626,schah,0.561,kyrkobillen,0.557,undersökningskommission,0.566,devés,0.542
62,romersta,0.822,nederländerne,0.656,castlereagh,0.623,förbundsdag,0.561,thingets,0.557,landdag,0.566,presslag,0.541
63,ruinera,0.822,wellingtons,0.656,deputeradekammaren,0.623,storhertiglig,0.56,handelsminister,0.557,president,0.564,barbey,0.54
64,nera,0.822,landtdag,0.656,fulltalig,0.622,ultimatum,0.56,ministöre,0.557,justitieminister,0.564,manassein,0.54
65,bender,0.822,sturle,0.655,calatrava,0.622,understatssekreterare,0.56,författningslagarne,0.556,herrehus,0.564,silfverlagen,0.54
66,rinder,0.821,spencer,0.654,uppgörelse,0.622,fredskongress,0.56,legislatur,0.556,undervisningslag,0.564,tarifförslag,0.539
67,äterkalla,0.821,votering,0.654,quotidienne,0.622,deputeradekammare,0.559,minisléren,0.556,floquet,0.563,nelleman,0.539
68,sysselsätta,0.821,coburg,0.654,förbundsdag,0.621,engeland,0.559,ständerförsamlingen,0.555,revisionsutskott,0.563,naquet,0.539
69,upsöka,0.821,sages,0.653,högligen,0.621,feruk,0.558,valkollegium,0.555,septennatet,0.562,seinedepartementet,0.539
70,giorde,0.821,lofwat,0.653,initiativ,0.621,sändebud,0.558,oppositionsparti,0.555,lagutkast,0.562,thingets,0.538
71,behandla,0.821,jämwal,0.653,majrst,0.621,washington,0.558,nationalråd,0.555,mairerna,0.561,dufaures,0.538
72,fånge,0.82,ultimatum,0.652,justitieminister,0.62,fredsförslag,0.558,favres,0.555,landtdag,0.561,finanslagförslaget,0.538
73,fältmarskalk,0.82,presidera,0.652,deputerad,0.62,changarniers,0.558,grévys,0.554,författningslag,0.561,méline,0.538
74,hant,0.82,storherren,0.652,prorogera,0.619,soult,0.558,zorilla,0.554,cairoli,0.561,bonnevies,0.538
75,aflägsna,0.82,återkomst,0.652,mole,0.619,interpellation,0.556,president,0.553,ajournering,0.56,landtbruksministern,0.537
76,directe,0.82,toulonsta,0.651,brougham,0.619,tilsit,0.556,justitieminister,0.553,laisant,0.56,skupschtinan,0.537
77,anspräk,0.819,preussista,0.651,förväg,0.619,dotation,0.556,nationalsörsamlingen,0.553,militärlag,0.56,riksrädets,0.536
78,declaration,0.819,senator,0.651,beqväma,0.618,arnim,0.556,olozaga,0.552,campenon,0.56,partikongress,0.535
79,stötta,0.819,envojé,0.651,paskewitsch,0.618,undertecknande,0.556,konciliet,0.551,barbeys,0.559,landdag,0.535
80,förmodligen,0.819,beskickning,0.65,conventet,0.618,persista,0.555,périers,0.551,méline,0.559,kamrame,0.534
81,tock,0.818,krigshändelse,0.65,engclste,0.618,sestion,0.555,förtroendevotum,0.551,trikupis,0.559,bardoux,0.534
82,fånga,0.818,hufwudman,0.65,whitworth,0.618,teheran,0.555,delegation,0.551,kamrame,0.559,magnathuset,0.534
83,folie,0.818,furst,0.65,decazes,0.618,bologna,0.555,deputeradekammarens,0.551,skollagsförslag,0.559,seinedepartementets,0.534
84,obehaglig,0.818,arrestering,0.649,deputeradekammare,0.618,ziirich,0.554,underprefekt,0.551,municipalråd,0.559,vänsterförening,0.533
85,15000,0.818,vincent,0.649,debattera,0.618,constitution,0.554,remusat,0.55,helstatsförfattning,0.558,riksadvokat,0.533
86,garnizon,0.818,kapitulation,0.649,öswerlemna,0.618,hemkalla,0.553,progressisterna,0.55,balfours,0.558,herrfurth,0.532
87,richard,0.818,paz,0.649,storkors,0.617,edsförbundsdagen,0.553,say,0.549,marsdekreten,0.558,sobranjens,0.532
88,wanstap,0.818,nungen,0.648,soult,0.617,asgifna,0.553,riksrädet,0.549,handelsdepartement,0.558,barbeys,0.532
89,annee,0.818,dödsdom,0.647,melville,0.617,radetzky,0.553,bennigsen,0.549,armélag,0.557,statsdomstol,0.532
90,bayern,0.817,mayland,0.647,wiensta,0.616,interpellera,0.553,plebiscit,0.548,senatsbeslut,0.557,presidentbefattningen,0.531
91,fransoftrne,0.817,missnöje,0.647,biskoppen,0.616,vicepresident,0.552,reformbill,0.548,northampton,0.557,formandskabet,0.531
92,fest,0.817,curir,0.647,vanhedra,0.616,kamar,0.552,ratazzi,0.547,riksdagsmedlem,0.556,kammareu,0.531
93,swäraste,0.817,hess,0.647,kommitteen,0.615,sammankallande,0.551,lavergne,0.547,meline,0.556,exekutivkomité,0.531
94,besluta,0.817,monitör,0.647,toreno,0.615,handelskammare,0.551,mellanstaternas,0.547,thingets,0.556,nationalgard,0.53
95,befalt,0.816,duell,0.646,mendizabals,0.614,regentinna,0.551,cissey,0.547,statssekretariat,0.556,kamrarnc,0.53
96,slippa,0.816,blake,0.646,saldanha,0.614,kommite,0.551,meeting,0.546,barbey,0.556,jaurés,0.53
97,hoswet,0.816,beswarade,0.646,paz,0.614,instructioner,0.551,tisza,0.546,ståthållarskap,0.555,edsförbundsdagen,0.53
98,wittne,0.816,artois,0.646,demagogisk,0.614,cortes,0.55,ministrarno,0.546,brissons,0.554,författningslag,0.53
99,unter,0.816,armöen,0.646,inrikesminister,0.614,ministéren,0.55,crémieux,0.545,representantförsamling,0.554,folkting,0.53
