,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,waraktigt,0.901,rättstillstånd,0.803,ultramontanism,0.741,demagogisk,0.701,demagogisk,0.701
1,envisas,0.888,egoistisk,0.78,maktlystnad,0.711,förnuftsskäl,0.684,förnuftsskäl,0.684
2,bundsförvandter,0.886,ideerna,0.771,statsenhet,0.71,ultramontanism,0.679,ultramontanism,0.679
3,olämplighet,0.885,omstörtning,0.768,maktbegär,0.708,progressistiska,0.677,progressistiska,0.677
4,smälek,0.884,maktägande,0.767,försvagande,0.705,faktion,0.677,faktion,0.677
5,bene,0.884,rättsbegrepp,0.752,individuel,0.702,gammalrysk,0.671,imperialistisk,0.671
6,sjn,0.883,häfdvunna,0.752,suveränetet,0.702,partikularistisk,0.67,gammalrysk,0.671
7,kringföra,0.883,interesset,0.752,sjelfbestämmelserätt,0.699,autokratisk,0.67,partikularistisk,0.67
8,religionsfrihet,0.883,grundvilkor,0.751,feodalism,0.697,opportunisterne,0.666,autokratisk,0.67
9,pepin,0.882,prestvälde,0.745,dualism,0.694,tripelallians,0.665,opportunisterne,0.666
10,firman,0.882,samverka,0.745,trångbröstad,0.694,bonapartism,0.661,tripelallians,0.665
11,ungherre,0.881,interess,0.744,demagogisk,0.691,verldsfreden,0.66,bonapartism,0.661
12,tvetydighet,0.881,statsförvaltning,0.743,romanisk,0.69,bonapartiska,0.658,verldsfreden,0.66
13,förbiseende,0.88,maktbegär,0.742,sydslav,0.689,nationalparti,0.657,bonapartiska,0.658
14,diktator,0.88,feodal,0.742,lifsprincip,0.689,maktbegär,0.656,unionsfiendtliga,0.658
15,pauline,0.88,stabilitet,0.738,fredskärlek,0.689,imperialistisk,0.656,nationalparti,0.657
16,mångahanda,0.879,företrädesrättighet,0.737,realunion,0.689,ultramontanernas,0.656,maktbegär,0.656
17,anflagit,0.879,öfvermäktig,0.737,samhällig,0.688,vensterparti,0.655,ultramontanernas,0.656
18,olen,0.879,hierarkisk,0.737,skyddsvärn,0.684,antidynastiska,0.653,progressisterna,0.656
19,misskänd,0.879,bekämpande,0.737,faktion,0.684,napoleonsta,0.653,vensterparti,0.655
20,charivari,0.879,statssystem,0.735,fredspolitik,0.683,nationalitetsprincip,0.653,antidynastiska,0.653
21,helsar,0.878,föreningsband,0.735,bonapartism,0.683,arfsföljden,0.652,napoleonsta,0.653
22,natio,0.878,tankefrihet,0.734,partiregering,0.679,repu,0.652,nationalitetsprincip,0.653
23,insignier,0.878,pånyttfödelse,0.732,nationalitetsprincip,0.679,antiklerikal,0.65,arfsföljden,0.652
24,tont,0.877,doktrin,0.732,panslavism,0.679,verldsdelens,0.65,repu,0.652
25,tämja,0.877,jemvigt,0.731,inleressen,0.679,progressisterna,0.648,balkanstat,0.651
26,dtm,0.876,opolitisk,0.731,kullkastande,0.679,republikanism,0.647,antiklerikal,0.65
27,smekning,0.876,tillskansa,0.731,eröfringspolitik,0.678,broderriket,0.646,verldsdelens,0.65
28,stabilitet,0.876,folklig,0.731,prestvälde,0.677,demagogi,0.645,republikanism,0.647
29,iagttaga,0.876,absolutism,0.73,militärism,0.677,intolerant,0.645,broderriket,0.646
30,oförstäldt,0.876,oafvislig,0.73,folkrättslig,0.676,hofparti,0.645,demagogi,0.645
31,anspråksfull,0.876,intolerans,0.729,absolutistisk,0.676,författningstrogna,0.645,intolerant,0.645
32,sarragossa,0.875,underlägsenhet,0.729,respekterande,0.676,återupprättelse,0.644,hofparti,0.645
33,matsmältning,0.875,naturenlig,0.728,hierarkisk,0.675,vrövel,0.643,författningstrogna,0.645
34,spekulativ,0.875,motväga,0.728,statsintresse,0.675,militärism,0.643,militärism,0.643
35,rier,0.875,inkräktning,0.727,förnuftsskäl,0.675,aksakoff,0.643,aksakoff,0.643
36,ovett,0.875,lolket,0.726,öfverändakasta,0.674,czechernas,0.642,vrövel,0.642
37,historieskrifvare,0.875,statsborgerlig,0.726,samhällighet,0.673,ultramontanerna,0.642,czechernas,0.642
38,pres,0.875,exklusiv,0.726,maktägande,0.673,öfverändakasta,0.642,ultramontanerna,0.642
39,davoust,0.874,samvetsfrihet,0.725,maktutvidgning,0.673,antirepublikansk,0.641,öfverändakasta,0.642
40,byråkrati,0.874,hjernspöke,0.724,iberisk,0.673,partivälde,0.641,antirepublikansk,0.641
41,återhållsamhet,0.874,förslappa,0.724,statsklokhet,0.672,maktutvidgning,0.641,partivälde,0.641
42,amor,0.874,halfofficiella,0.724,egoistisk,0.672,politikerne,0.641,maktutvidgning,0.641
43,öfter,0.874,samhällig,0.723,opolitisk,0.672,balkanstat,0.64,återupprättelse,0.641
44,betia,0.874,milieu,0.723,islamitisk,0.671,absolutistisk,0.64,politikerne,0.641
45,förbigången,0.874,monarkisk,0.723,centralisation,0.671,prestvälde,0.639,klasskamp,0.641
46,förtryta,0.873,materiela,0.723,statsordning,0.671,partikularism,0.639,absolutistisk,0.64
47,negociera,0.873,statsklok,0.723,machinationer,0.67,äfventyrspolitik,0.639,prestvälde,0.639
48,demoralisation,0.873,monopolier,0.722,grundvilkor,0.669,socialrevolutionär,0.638,partikularism,0.639
49,religionslärare,0.873,abstraktion,0.722,interessena,0.668,lothringens,0.638,äfventyrspolitik,0.639
50,sjöstyrka,0.873,statsinrättning,0.721,korrumpera,0.668,fredsförbund,0.638,socialrevolutionär,0.638
51,hebreisk,0.873,lifsfråga,0.721,exklusiv,0.667,konfessionell,0.638,lothringens,0.638
52,gregorius,0.873,ideell,0.72,jemlikhetens,0.667,eröfringslystnad,0.637,fredsförbund,0.638
53,välan,0.873,undergräfva,0.719,påfvedöme,0.666,federativ,0.637,eröfringslystnad,0.637
54,fabvier,0.873,omskapa,0.719,återupprättelse,0.666,partilidelser,0.637,folksuveränitet,0.637
55,stewart,0.872,interessen,0.719,usurpera,0.664,centralmakt,0.636,konfessionell,0.637
56,dampa,0.872,fiendskap,0.719,idealism,0.663,mazzinistiska,0.636,federativ,0.637
57,oskrymtad,0.872,rättmätighet,0.719,italienarnes,0.662,maktlystnad,0.636,partilidelser,0.637
58,ingo,0.872,försvagande,0.718,bonapartiska,0.661,afgjordaste,0.636,agressiv,0.637
59,afskudda,0.872,individuel,0.718,magyariska,0.661,furstemord,0.636,centralmakt,0.636
60,efterstå,0.872,sidoinflytande,0.718,sydslavisk,0.661,unionspolitik,0.636,mazzinistiska,0.636
61,wäcktes,0.872,franklike,0.717,supremati,0.661,kullkastande,0.635,afgjordaste,0.636
62,snöplig,0.872,näringstvång,0.717,menniskorätt,0.661,agitatorerne,0.635,maktlystnad,0.636
63,hunn,0.872,interessena,0.716,rättsgrundsats,0.661,destruktiv,0.634,furstemord,0.636
64,sammansvuren,0.872,partisinne,0.716,styrelsesystem,0.66,partikularist,0.634,kullkastande,0.635
65,lättrogen,0.872,välsignelserik,0.716,eröfringskrig,0.66,carlismen,0.633,agitatorerne,0.635
66,sentera,0.871,demagogisk,0.716,interessen,0.66,författningsfråga,0.633,destruktiv,0.634
67,passionerad,0.871,kosmopolitisk,0.714,kommunistisk,0.66,ungrarnes,0.633,partikularist,0.634
68,dauphin,0.871,afvoghet,0.714,rättstillstånd,0.66,intransigent,0.632,carlismen,0.633
69,höstråg,0.871,påfvedöme,0.714,splittradt,0.66,interessena,0.632,författningsfråga,0.633
70,inkonseqvens,0.871,legislativ,0.714,likbetydande,0.659,centraleuropeisk,0.632,ungrarnes,0.633
71,ohöljd,0.871,nationalförsvar,0.713,medeltida,0.659,kyrkopolitik,0.632,intransigent,0.632
72,bravorop,0.871,verldeu,0.713,oppositionel,0.659,reformpolitik,0.631,interessena,0.632
73,lyckliggöra,0.871,sedvana,0.712,värnande,0.659,trekejsarförbundet,0.631,centraleuropeisk,0.632
74,arbetsrum,0.87,sjelfviskhet,0.712,pessimistisk,0.659,yrkespolitiker,0.63,kyrkopolitik,0.632
75,bemantla,0.87,sträfvar,0.712,lifskraftig,0.658,mellanstaterna,0.63,reformpolitik,0.631
76,invånarena,0.87,kontinuitet,0.712,sjelfviskhet,0.658,samhällig,0.629,trekejsarförbundet,0.631
77,herrawälde,0.87,fortvara,0.712,folkvilja,0.658,våldförande,0.629,frihetsälskande,0.63
78,lerje,0.87,följdriktig,0.711,oberättigadt,0.658,panslavism,0.629,yrkespolitiker,0.63
79,tyrannisk,0.87,samhällsförbättring,0.711,federativ,0.657,statsenhet,0.629,mellanstaterna,0.63
80,envälde,0.87,besjäla,0.71,folksuveränitet,0.657,dissident,0.629,samhällig,0.629
81,puff,0.87,upphäfver,0.71,enthusiasmen,0.657,flendtliga,0.628,våldförande,0.629
82,asdelningar,0.87,theorier,0.71,samhällsmakt,0.657,negrernes,0.628,panslavism,0.629
83,alkohol,0.87,vanvett,0.71,tillintetgörande,0.657,maktägande,0.628,statsenhet,0.629
84,krökning,0.87,katolicism,0.709,lycksökeri,0.657,respekterande,0.628,dissident,0.629
85,förtrollning,0.87,folkvälde,0.709,sjelfvisk,0.656,hersklystnad,0.628,flendtliga,0.628
86,rättig,0.87,sträfvade,0.709,underkufva,0.656,lydstat,0.628,negrernes,0.628
87,afbrutet,0.869,nationel,0.709,maktställning,0.656,statsordning,0.627,respekterande,0.628
88,montes,0.869,öfverrumpling,0.709,indifferent,0.655,unionsfiendtliga,0.627,hersklystnad,0.628
89,destntom,0.869,godmodighet,0.709,antirepublikansk,0.655,opportunist,0.627,lydstat,0.628
90,prägtig,0.869,enskiltes,0.708,demagogi,0.655,författningsstrid,0.627,statsordning,0.627
91,artikelförfattare,0.869,slägtet,0.708,förderflighet,0.655,agressiv,0.627,författningsstrid,0.627
92,öfvermodig,0.869,dödsfiende,0.708,enande,0.655,rikskanslärens,0.626,unionspolitik,0.627
93,beswarande,0.869,faktion,0.708,uppviglare,0.655,ultrakonservativ,0.626,eröfringspolitik,0.627
94,tirad,0.869,abstrakt,0.708,ideerna,0.655,krigspolitik,0.626,opportunist,0.627
95,bortjaga,0.868,nationalkänsla,0.707,nationalära,0.654,prenssens,0.626,rikskanslärens,0.626
96,berådt,0.868,vankelmod,0.707,mazzinistiska,0.654,samfundsordning,0.626,unionsupplösande,0.626
97,vålnad,0.868,byråkratisk,0.707,partiintresse,0.654,orleanistiska,0.625,ultrakonservativ,0.626
98,bildningsgrad,0.868,upphäfna,0.706,vinningslystnad,0.654,plebiscitära,0.625,krigspolitik,0.626
99,anleda,0.868,styrelseform,0.705,undergräfva,0.654,sönderstyckning,0.625,prenssens,0.626
