,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,villaume,0.752,lachambre,0.736
1,lachambre,0.745,käjsarfamiljen,0.713
2,högstkommenderande,0.741,villaume,0.71
3,pianelli,0.741,återuppträdande,0.71
4,öfningsmarsch,0.741,musikanterne,0.708
5,kejsarhofvet,0.737,bertani,0.706
6,ultramontansk,0.735,fältöfning,0.703
7,badenska,0.735,harmand,0.703
8,verdy,0.734,kejsarhofvet,0.702
9,förverk,0.73,verdy,0.702
10,riviera,0.73,gariska,0.701
11,liniebataljon,0.73,mobiliseringsorder,0.7
12,brogi,0.729,högstkommenderande,0.699
13,käjsarfamiljen,0.729,vestgränsen,0.698
14,herwarth,0.727,manassein,0.698
15,rigny,0.726,lierskar,0.698
16,gumri,0.725,turistklubb,0.698
17,lejeune,0.724,pianelli,0.697
18,cerarne,0.724,baranov,0.696
19,skrzynecki,0.723,vannovski,0.696
20,harmand,0.721,territorialarmé,0.696
21,feller,0.719,korvettkapten,0.695
22,lothario,0.718,ernroth,0.695
23,inkommendera,0.718,dembinski,0.694
24,stålhane,0.718,agrarierna,0.694
25,geismar,0.718,herwarth,0.693
26,gossorkester,0.718,fricorps,0.693
27,troelius,0.718,fläckta,0.693
28,roussin,0.717,viborgska,0.692
29,turistklubb,0.716,begåfvado,0.692
30,gobineau,0.715,ntmärka,0.692
31,fältöfning,0.715,uppmuntradt,0.691
32,försöksmobilisering,0.715,förverk,0.691
33,skådespelarekonsten,0.715,ingeniörkorpsen,0.691
34,frijägare,0.715,klockspelare,0.69
35,toral,0.714,unionskomité,0.69
36,almonte,0.714,ultramontansk,0.69
37,militärskriftställare,0.713,panslavistisk,0.69
38,korvettkapten,0.713,turkvänlig,0.689
39,tanns,0.713,personskifte,0.689
40,dembinski,0.713,slutanmärkning,0.688
41,manassein,0.712,östrumiliens,0.688
42,klockspelare,0.712,ockupationsarmé,0.688
43,castellani,0.711,svensha,0.688
44,lamoureux,0.711,schönberger,0.688
45,geffroy,0.71,majrst,0.687
46,schönberger,0.71,crimen,0.687
47,fälhafvare,0.71,öfningsmarsch,0.687
48,berwitz,0.71,militärskriftställare,0.687
49,tygskrifvare,0.71,lemnnt,0.687
50,musikanterne,0.71,schousboe,0.686
51,fromont,0.709,kompo,0.686
52,lysaude,0.709,sändeskapet,0.685
53,baranov,0.709,turkomanerne,0.685
54,goyons,0.709,skådespelarekonsten,0.685
55,salzano,0.708,anzeiger,0.684
56,treptow,0.708,lamoureux,0.684
57,nyutnämda,0.708,berwitz,0.684
58,exkejsar,0.708,tidningsväsende,0.684
59,stadttheater,0.707,anslagskraf,0.684
60,mutkuroff,0.707,schmerlings,0.684
61,fläckta,0.707,almonte,0.683
62,gardeskompaniet,0.707,weyler,0.683
63,frossards,0.706,storvärk,0.683
64,bodisco,0.706,sweits,0.682
65,vestgränsen,0.706,frälsnings,0.682
66,skridskokung,0.706,toscansk,0.682
67,butlers,0.706,injurie,0.682
68,ingeniörkorpsen,0.706,miribel,0.681
69,lozé,0.705,reorganisering,0.681
70,gardeskåren,0.705,cerarne,0.681
71,trepoff,0.704,käjsarparet,0.681
72,smälandö,0.704,tricou,0.681
73,viborgska,0.704,exkejsar,0.68
74,prenssiska,0.704,torierna,0.68
75,värnepliktige,0.704,loizillon,0.68
76,landsortsregemente,0.703,soults,0.68
77,unruh,0.703,rollfack,0.679
78,komarow,0.703,justitieombuds,0.679
79,spizza,0.703,förstuämda,0.679
80,bertani,0.703,allfolkliga,0.679
81,territorialarmé,0.703,ledarön,0.679
82,fricorps,0.703,castellani,0.679
83,lenbach,0.702,lysaude,0.679
84,wienertidningar,0.702,prenssiska,0.678
85,persiani,0.702,zorrilla,0.678
86,siewers,0.702,operadirektör,0.678
87,forey,0.702,gumri,0.678
88,tonio,0.701,slesvigholsteinarne,0.678
89,officerskorps,0.701,geffroy,0.678
90,grenadierregementet,0.701,brytningsperiod,0.678
91,loizillon,0.701,veltran,0.678
92,weyler,0.701,troelius,0.678
93,lafarge,0.701,åmnar,0.678
94,wartenberg,0.701,skiifver,0.677
95,baucis,0.701,återverkning,0.677
96,hussarregemente,0.7,tiilämnade,0.677
97,turkomanerne,0.7,fabrikan,0.677
98,ledarön,0.7,inkommendera,0.677
99,suarez,0.7,arméreform,0.677
