,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,afgifwande,0.86,böneskrift,0.664,opponera,0.563,protestera,0.609,gensaga,0.712,gensaga,0.68
1,kalender,0.853,declaration,0.664,protestation,0.553,gensaga,0.565,protestera,0.615,protestera,0.603
2,rubbning,0.852,protestation,0.661,afdanka,0.548,anklagelseakt,0.56,opinionsyttring,0.528,hasenclever,0.555
3,spe,0.846,stedda,0.657,declaration,0.548,parisfördraget,0.536,insaga,0.516,goblets,0.542
4,bleswe,0.843,strängeligen,0.654,ständerförsamling,0.545,neutralitetsförklaring,0.535,arbetarbörs,0.515,polemisera,0.539
5,tilldöma,0.842,jämwal,0.651,note,0.545,undertecknare,0.534,hasenclever,0.509,riktat,0.539
6,utweckling,0.842,durhams,0.651,resumera,0.543,syllabus,0.534,inskridande,0.508,antisemitism,0.537
7,resolvera,0.84,envojé,0.651,avisa,0.542,slutmening,0.532,invänningar,0.508,regeringed,0.532
8,hmaraf,0.84,kontraproposition,0.651,tillmål,0.539,arresteringsorder,0.531,polemisera,0.506,nttalar,0.529
9,ärftlig,0.839,krigsförklaring,0.649,andragande,0.538,opposition,0.531,goblets,0.505,smutskastning,0.528
10,ingifwen,0.839,proclamation,0.649,fientlighet,0.537,energistt,0.53,smutskastning,0.504,protestnot,0.527
11,bandit,0.839,förenamde,0.646,kandidatur,0.536,hofsamma,0.529,riktat,0.504,arbetarbörs,0.526
12,andlig,0.838,mediation,0.643,pärs,0.534,jtaliens,0.528,invändning,0.502,mordsak,0.526
13,budget,0.838,protestera,0.641,fueros,0.533,allokution,0.526,nttalar,0.501,miinchener,0.522
14,urarta,0.838,ofwanstäende,0.637,böneskrift,0.533,ofelbarhetsdogm,0.525,antisemitism,0.499,arnims,0.521
15,werken,0.838,ultimatum,0.636,forändring,0.533,nigras,0.525,1529,0.498,reichsbote,0.52
16,äfwan,0.838,kränkning,0.635,upphäswande,0.532,opinionsyttring,0.525,mihtroendevotum,0.498,ratazzis,0.52
17,conseil,0.838,stadeständ,0.634,lauenburgs,0.532,misstroendevotum,0.524,nttalat,0.498,insaga,0.518
18,indragning,0.837,formlig,0.634,reformförslag,0.532,reklamation,0.523,motdrag,0.498,ermeland,0.517
19,bestämmande,0.836,reservera,0.633,cavaignacs,0.531,kammarledamot,0.522,mordsak,0.494,rundskrifvelsen,0.517
20,kumlinge,0.835,klagomäl,0.633,klausul,0.531,protestation,0.522,ofelbarhetsdogm,0.493,gambettistiska,0.517
21,lfwerste,0.834,äsigtcr,0.632,helstat,0.53,förnärmelse,0.52,encyclican,0.492,agitatorerne,0.515
22,stickelighet,0.834,tractaten,0.631,disraeli,0.53,regeringshandling,0.52,millerand,0.492,invänningar,0.515
23,engelsmannerne,0.834,instructioner,0.631,bonapartist,0.528,invänningar,0.52,regeringed,0.492,daguerre,0.514
24,ordningsman,0.834,servien,0.631,ståthållarskap,0.528,encyclican,0.519,omedgörlighet,0.491,paredes,0.514
25,kcngl,0.834,synod,0.63,kontraproposition,0.528,ermeland,0.517,opinera,0.491,unionsförslag,0.514
26,corpsens,0.834,angifvelser,0.63,förbundsstat,0.525,augustenburgarens,0.517,prestwäldet,0.49,encyclican,0.514
27,eom,0.833,öswerlemna,0.63,protestera,0.524,motskrift,0.516,liebknechts,0.489,motskrift,0.513
28,utsaga,0.833,skrifvelsen,0.63,förgripelse,0.524,ersättningstalan,0.515,frihandelsvänlighet,0.489,svoboda,0.513
29,jande,0.833,reorganisation,0.63,envojé,0.524,centralmakt,0.515,invektiv,0.488,osservatore,0.512
30,förswunnit,0.832,hätskhet,0.629,motsträfvighet,0.524,våldförande,0.514,protestnot,0.487,regeringsförfrågan,0.512
31,ärhällit,0.832,beifran,0.628,wägran,0.524,ståthållarskap,0.513,herdebref,0.486,desavouering,0.512
32,ken,0.831,paez,0.626,motparti,0.523,landafträdelse,0.513,protestation,0.486,vossische,0.511
33,invasion,0.831,barthe,0.625,fiendtlighet,0.522,ofelbarhetslära,0.511,ratazzis,0.486,herdebref,0.511
34,bränwinet,0.83,perez,0.625,rigtat,0.521,laskers,0.507,tillbakawisade,0.486,dupins,0.511
35,allseende,0.83,solidarisk,0.625,congressen,0.521,meningsyttring,0.507,agitatorerne,0.485,reklamation,0.511
36,missnöjd,0.83,enständig,0.624,polemisera,0.521,garantimakt,0.505,uppfordran,0.485,parnelliternas,0.511
