,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,statslån,0.778,åvägabringa,0.567,landtransport,0.581,landttransporter,0.596,försäkringsgifvare,0.54
1,tvungen,0.767,myntvärde,0.559,prsemier,0.555,landttransport,0.55,reassurera,0.534
2,ofullkomlighet,0.765,lifförsäkring,0.559,landttransport,0.543,försäkringsgifvare,0.546,luster,0.531
3,dagtraktamente,0.762,bevislig,0.559,omförsäljning,0.514,reassurera,0.539,landttransporter,0.527
4,handelsflotta,0.762,vidkänna,0.556,sjöför,0.507,luster,0.52,risque,0.518
5,eldfarlig,0.761,vore,0.554,öfvertages,0.495,bodmericr,0.517,ränteförsäkring,0.514
6,omkostning,0.761,krisi,0.551,spccier,0.493,bodmerler,0.517,påräknelig,0.514
7,missvisning,0.761,antagom,0.549,24000,0.483,praemier,0.512,landttransport,0.511
8,vakans,0.76,tvångsmedel,0.546,specicr,0.482,sjöför,0.504,ränteliqviderna,0.507
9,resekostnad,0.759,uppdrifvas,0.546,tillskottsfria,0.48,lialfva,0.501,förlast,0.504
10,medgifvas,0.759,enskiltas,0.546,bodmericr,0.48,prsemier,0.501,mpt,0.504
11,förslösa,0.756,uppdagadt,0.546,haveripenningar,0.477,fraktpeningar,0.496,flyttningskostnad,0.501
12,åtkomlig,0.756,angifvande,0.545,lisker,0.477,tillskottsfria,0.496,praemier,0.501
13,förlager,0.756,handelsintresse,0.544,jlif,0.475,landtransport,0.493,premieförhöjning,0.501
14,sedelmynt,0.756,fingera,0.544,fraktpeningar,0.472,ränteförlust,0.492,reassurans,0.5
15,afkorta,0.755,statsbank,0.543,bodinerier,0.466,auktionskostnad,0.49,lialfva,0.5
16,pekuniär,0.754,utöf,0.542,donationsförsäkringar,0.465,forsäkring,0.49,försyndelse,0.499
17,nominel,0.754,tjenstbarhet,0.541,praemier,0.463,handelsvinst,0.489,rederirörelse,0.498
18,underhållskostnad,0.754,förbin,0.54,gasexplosion,0.462,flyttningskostnad,0.488,kapitalel,0.498
19,obetingad,0.752,spanmålshandel,0.54,fraktförskott,0.46,försäkringsafgifter,0.487,bytesvärde,0.496
20,riskera,0.752,importör,0.54,oreglerad,0.46,ränteförsäkring,0.486,militärbördor,0.496
21,minimum,0.751,motväga,0.538,forsäkring,0.46,risque,0.486,kapitalförlust,0.495
22,viil,0.751,påkänning,0.538,fripolis,0.46,återförsäkring,0.485,utskrifningar,0.494
23,önskvärd,0.751,förehafvande,0.538,eldskada,0.459,bodinerier,0.483,strandningsfall,0.492
24,påkalladt,0.751,tillverkningskostnad,0.538,sjörisker,0.457,mpt,0.483,förbrukarne,0.491
25,arbetskostnad,0.75,missräkning,0.538,landtransportförsäkring,0.455,oreglerad,0.48,ränteförlust,0.491
26,brödlös,0.749,granlaga,0.537,hodmerier,0.452,landtransportförsäkring,0.479,vikor,0.491
27,fingera,0.749,köpenskap,0.537,casko,0.45,inteckningsbelopp,0.479,försäkringstagarnes,0.491
28,diskontering,0.749,upplåna,0.537,fördelak,0.45,fördolaktiga,0.479,försäkringsafgifter,0.49
29,skogshushållning,0.749,misshushållning,0.536,premieförhöjning,0.448,ränteliqviderna,0.478,forsäkring,0.49
30,räntegifvare,0.748,betinna,0.536,bodmerilån,0.445,premieförhöjning,0.476,nämnbar,0.489
31,relatift,0.747,produktionsort,0.535,bodmerler,0.443,reassurans,0.476,vinstandel,0.487
32,konsument,0.746,långifvare,0.534,fraktförskotter,0.443,krigsförsäkring,0.476,militärutgifterna,0.487
33,sinnlig,0.746,själf,0.534,assuraneer,0.442,fraktförskott,0.475,träfta,0.487
34,omild,0.745,lolket,0.533,ohh,0.441,oor,0.475,beliöfvas,0.486
35,undvara,0.745,bevi,0.533,slag3,0.44,förlust,0.475,försvarsbörda,0.486
36,bokstaflig,0.745,återhåll,0.533,handelsvinst,0.439,blixtantändning,0.475,aktieegames,0.486
37,monopol,0.745,förminskat,0.533,lördelaktiga,0.439,varuförsändning,0.474,injurie,0.485
38,vämjelig,0.745,restriktion,0.533,utstyr,0.439,casko,0.474,iless,0.485
39,täthet,0.744,ifren,0.532,rist,0.438,vinstå,0.474,återförsäkring,0.485
40,trampning,0.743,arktalet,0.532,mier,0.438,varuegarne,0.473,kapitalförmögenhet,0.483
41,qvantiteten,0.743,rättsprincip,0.532,fragter,0.437,försäkringstagarnes,0.472,blixtantändning,0.483
42,förklarlig,0.742,enskildhet,0.532,öfwertager,0.435,donationsförsäkringar,0.472,tillskottsfria,0.483
43,antekning,0.742,enskilte,0.531,kasseförsäkringar,0.435,imaginär,0.472,imaginär,0.482
44,fördömlig,0.741,ogynsamt,0.531,mjif,0.434,aktieegames,0.471,lånebehöfvande,0.482
45,upplysningsvis,0.741,återupplifva,0.531,raul,0.434,kapitalförlust,0.469,nämvärda,0.481
46,enskiltas,0.741,tvisteämne,0.531,bodmeri,0.433,viust,0.469,beväringspligten,0.481
47,pud,0.74,importörerne,0.531,årspremie,0.433,förlast,0.468,fördärfvas,0.48
48,nötning,0.74,omistlig,0.53,reskostnad,0.431,dekort,0.467,återhåll,0.48
49,missräkning,0.74,vidlåda,0.53,kasko,0.43,järnvägsmateriel,0.467,bodmericr,0.479
50,evident,0.739,qväsa,0.53,mof,0.429,korame,0.467,kasseförsäkringar,0.479
51,matsmältning,0.739,tidsutdrägt,0.529,landstransport,0.428,bodmeripengar,0.464,prestationsförmåga,0.479
52,jernhandteringen,0.739,missförstånd,0.529,aislutar,0.428,påräknelig,0.464,korame,0.479
53,berättigad,0.739,maktmissbruk,0.529,tigaste,0.428,vinston,0.463,fraktpeningar,0.479
54,försämring,0.739,tiltror,0.529,sjöskada,0.428,jlif,0.463,affärsbolag,0.477
55,envälde,0.739,oanvänd,0.529,regress,0.428,öfvertagare,0.462,viust,0.477
56,debit,0.738,skyddssystem,0.528,ränteförsäkring,0.427,haveripenningar,0.462,effektivitet,0.477
57,skaplynne,0.738,bortslösa,0.527,lifränlor,0.426,kvartalsvis,0.461,kursförlust,0.477
58,jemnhet,0.738,öfiigt,0.527,premie,0.425,beväringspligten,0.461,skatteväg,0.477
59,djerfvaste,0.738,kostnadsbelopp,0.527,lilförsäkringar,0.425,administrationskostnad,0.459,tankeansträngning,0.476
60,omvändt,0.738,nödtvång,0.526,blags,0.424,sjukförsäkring,0.459,möjli,0.475
61,uppslå,0.737,afgifier,0.526,sbolag,0.424,dannevirkeställningen,0.458,alliså,0.475
62,jemnförelse,0.737,pligler,0.526,befullinägtigade,0.424,aktior,0.458,egentli,0.475
63,misstänksam,0.737,ränteförlust,0.526,säkring,0.424,bytesvärde,0.458,existence,0.475
64,passiv,0.736,risque,0.525,assurancer,0.423,lifförsäkriugar,0.458,ntgifter,0.475
65,arfvoden,0.736,interessena,0.525,lifråntor,0.423,gastillverkning,0.457,motighet,0.475
66,tillfälligtvis,0.736,solidité,0.525,7000,0.422,lifråntor,0.457,handelsvinst,0.474
67,handtlangare,0.735,concessioner,0.524,auktionstill,0.422,kutym,0.457,fruntimmersbekantskaper,0.474
68,förminskning,0.734,trängande,0.524,aktierätt,0.421,sjörisker,0.457,krigsförsäkring,0.474
69,tvetydighet,0.734,pekuniär,0.524,lifförsäkriugar,0.421,premieinbetalning,0.456,landtkommunerna,0.474
