,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,rättstillstånd,0.867,fredsförslag,0.755,qtto,0.67,qvo,0.667,qvo,0.682
1,intervenera,0.844,donaufurstendömenas,0.737,qvo,0.622,qtto,0.601,qtto,0.595
2,reformvän,0.842,intervenera,0.732,slutgiltig,0.62,berlintraktaten,0.593,berlintraktaten,0.589
3,handelsfördrag,0.841,stadeständ,0.73,modus,0.602,integritet,0.564,modus,0.58
4,förhållanderne,0.833,omöjeligt,0.723,helstatsförfattning,0.598,berlinfördraget,0.562,entente,0.577
5,tidehvarfvets,0.832,tillintetgörelse,0.722,tractat,0.595,afträdelse,0.562,landafträdelse,0.574
6,personifiera,0.831,stabilitet,0.72,afslutna,0.594,modus,0.559,afträdelse,0.571
7,brytning,0.829,rågan,0.716,stipulation,0.588,londonerfördraget,0.557,integritet,0.566
8,uppnående,0.829,kontrarevolution,0.715,störtande,0.587,entente,0.555,septemberfördraget,0.565
9,jemnlikhet,0.828,undanskjuta,0.714,budgetförslag,0.586,tractat,0.553,vestmakternas,0.565
10,bevekelsegrund,0.825,anslutning,0.714,landafträdelse,0.585,landafträdelse,0.552,alabamafrågan,0.564
11,obetänkt,0.822,trångmål,0.711,occupation,0.584,alabamafrågan,0.552,donaufurstendömenas,0.563
12,våla,0.821,tractaten,0.71,parisfördraget,0.582,londonertraktaten,0.551,berlinfördraget,0.563
13,oförvillad,0.821,helstat,0.71,parisertraktaten,0.582,donaufurstendömenas,0.549,londonerfördraget,0.562
14,passionerad,0.821,afväpning,0.708,handelspolitik,0.581,autonom,0.548,autonom,0.559
15,konflikt,0.82,stipulation,0.707,hufvudgrunder,0.58,septemberfördraget,0.547,gränsfråga,0.557
16,föredöme,0.82,wienertraktaten,0.705,upphåfvandet,0.58,novibazar,0.545,novibazar,0.556
17,misshällighet,0.82,tractat,0.705,militärorganisation,0.58,vestmakternas,0.543,verldsdelens,0.556
18,jemnvigt,0.82,darföre,0.703,grundlagsbestämmelse,0.579,parisertraktaten,0.542,endrägten,0.556
19,upphäfwas,0.819,fueros,0.702,rågan,0.579,ante,0.541,tractat,0.555
20,misstro,0.818,oförkränkt,0.701,constitutionella,0.578,riksförfattning,0.541,berlinkongressens,0.555
21,stabilitet,0.817,fyrdelning,0.701,myntväsen,0.577,berlintraktatens,0.541,fredspolitik,0.555
22,religionsfrihet,0.817,zarens,0.698,konsolidera,0.577,berlinkongressens,0.54,kongressförslag,0.554
23,afmåla,0.816,helstatsförfattning,0.697,härorganisation,0.576,gränsfråga,0.539,vestmagterna,0.553
24,insågo,0.816,oklokhet,0.697,vestmakternas,0.575,neutralitetspolitik,0.539,neutralitetspolitik,0.553
25,öfvermakt,0.815,constitutionella,0.696,fueros,0.574,ockupering,0.539,ockupering,0.551
26,undvara,0.815,oinstränkt,0.694,förbundsförfattning,0.574,magternas,0.539,londonerkonferensen,0.551
27,ifråga,0.815,representationsform,0.694,lagreform,0.573,kongressförslag,0.538,furstevalet,0.55
28,milieu,0.814,konsti,0.694,entente,0.573,fredsförhandling,0.538,försvarande,0.549
29,tullsystem,0.814,vestmakternas,0.693,tilläggsartikel,0.572,endrägten,0.537,londonertraktaten,0.549
30,vanhederlig,0.813,enstämmighet,0.693,konsumtionsskatt,0.572,östrumelien,0.536,parisertraktaten,0.549
31,undergräfva,0.813,krigsparti,0.692,maktställning,0.572,furstevalet,0.536,östrumelien,0.549
32,förklarlig,0.813,prohibition,0.692,londonerfördraget,0.571,rumilien,0.536,suveränitetsrättigheter,0.548
33,öfverhet,0.813,aktift,0.692,paristraktaten,0.57,försvarande,0.536,tremaktsförbundets,0.547
34,invertes,0.813,convention,0.689,territoriela,0.57,verldsdelens,0.534,berlintraktatens,0.545
35,minisleren,0.813,tillsiänd,0.688,miuistéren,0.57,finanskontroll,0.53,guldmyntfot,0.545
36,alliance,0.812,s8ledes,0.688,kongressförslag,0.568,fredspolitik,0.53,occupation,0.544
37,ansågos,0.811,tilsit,0.688,autonom,0.568,guldmyntfot,0.53,stormaktsställning,0.544
38,jemvigt,0.811,upphäfwas,0.688,rumeniens,0.566,paristraktaten,0.529,chablais,0.543
39,befästning,0.811,neutralitetsförklaring,0.688,suveränetet,0.566,suveränitetsrättigheter,0.529,fredsförhandling,0.543
40,andamål,0.811,garanterat,0.688,förbundsbeslut,0.566,chablais,0.528,återupprättadt,0.542
41,såvidt,0.81,decidera,0.687,berlintraktaten,0.565,londonerkonferensen,0.528,ante,0.541
42,egenmäktig,0.81,banksystem,0.687,förhållanderne,0.565,stormaktsställning,0.527,utjemningen,0.541
43,demagogisk,0.809,crisis,0.687,tullreform,0.565,kollektivnot,0.527,författningsfråga,0.541
44,fueros,0.809,räddningsplanka,0.687,dualism,0.564,förbundsexekution,0.526,magternas,0.541
45,maktägande,0.809,undantagslag,0.686,pacifikation,0.564,rumeniens,0.526,stormagternas,0.54
