,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,1779,0.863,adertonde,0.799,decennium,0.731,sekel,0.687,sekel,0.729,sekel,0.692,sekel,0.685
1,palen,0.854,märkwärdigaste,0.79,sekel,0.661,ärhundradet,0.596,årtusende,0.662,årtusende,0.657,årtusende,0.662
2,nera,0.847,anekdot,0.773,ärhundradet,0.641,årtusende,0.586,årtionde,0.64,årtionde,0.619,årtionde,0.621
3,garnizon,0.842,trpcket,0.734,tidehvarfvet,0.64,verldshistorien,0.579,ärhundradet,0.602,ärhundrade,0.606,decennium,0.604
4,france,0.842,trncket,0.731,adertonde,0.639,årtionde,0.579,hednatid,0.577,ärhnndradet,0.591,menniskoålder,0.598
5,beni,0.841,statistik,0.72,verldshistorien,0.631,tidehvarfvet,0.559,tidehvarf,0.567,ärhundradet,0.582,mansålder,0.575
6,skingra,0.841,omarbeta,0.715,medeltid,0.621,decennium,0.557,ärhundrade,0.563,århun,0.575,ärhundrade,0.572
7,ärets,0.839,trvcket,0.708,märkwärdigaste,0.62,tideräkning,0.553,decennium,0.556,menniskoålder,0.567,århun,0.568
8,bewiljat,0.838,sammandrag,0.697,period,0.619,aristoteles,0.551,adertonde,0.551,tidsskede,0.565,tidehvarf,0.566
9,sluteligen,0.838,sckljes,0.696,tidehvarf,0.612,korståg,0.548,tidsålder,0.545,mansålder,0.562,vikingatid,0.564
10,afsatt,0.837,camp,0.695,reformation,0.601,reformation,0.544,ärhundradets,0.544,tidehvarf,0.553,tidsskede,0.562
11,prägtig,0.836,jes,0.693,sjuttonde,0.592,medeltid,0.543,verldshistorien,0.541,decennium,0.553,nittonde,0.557
12,werldcn,0.835,nittonde,0.692,epok,0.586,hedendom,0.538,förhistorisk,0.535,storhetstid,0.55,ärhnndradet,0.556
13,despot,0.835,sjunde,0.692,tiotal,0.582,ärhundrade,0.533,blomstringstid,0.525,ärhundradets,0.55,skräckregering,0.544
14,mannamod,0.833,aftryck,0.692,frihetskrig,0.573,hednisk,0.53,mansålder,0.524,nittonde,0.54,studieår,0.544
15,oförsynt,0.833,grekisk,0.688,öfversatt,0.573,statssystem,0.527,hedenhös,0.523,skräckregering,0.537,släktled,0.544
16,voro,0.833,geografisk,0.687,minnesmärke,0.572,julirevolutionen,0.522,trettioårig,0.523,tidehvarfvet,0.531,storhetstid,0.542
17,upgifwit,0.833,schiller,0.684,memoirer,0.571,samhällslif,0.517,tidsskede,0.52,medeltid,0.529,kvarlefva,0.54
18,bortgång,0.832,krönika,0.682,1850,0.569,menniskoslägte,0.517,reformation,0.515,befrielsekrig,0.528,befrielsekrig,0.538
19,criticus,0.832,nionde,0.682,folksaga,0.566,tidräkning,0.515,ärhundraden,0.515,vikingatid,0.526,blomstringsperiod,0.538
20,xiv,0.832,camilla,0.681,korståg,0.565,1648,0.515,skräckregering,0.515,1600talet,0.526,ärhundradets,0.536
21,sägen,0.831,salies,0.681,sistförflutna,0.563,epok,0.513,förgångna,0.515,ärhnndrade,0.525,medeltid,0.533
22,sistlcdne,0.831,jerusalem,0.679,partitur,0.562,hufvudstäder,0.513,ärhnndradet,0.515,ärhundraden,0.523,ärhnndrade,0.532
23,catholsta,0.831,compis,0.679,bulwer,0.561,1789,0.512,tidehvarfvet,0.514,tideräkning,0.522,sorgedag,0.531
