,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,öswerlemna,0.744,legitim,0.677,suveränitet,0.646,herskare,0.67,herskare,0.643
1,lyckönskning,0.736,enväldig,0.646,furste,0.623,herrskare,0.624,herrskare,0.622
2,stedda,0.735,tyrannisk,0.637,furstehus,0.621,nndersåter,0.604,nndersåter,0.61
3,marocko,0.729,medlare,0.636,legitim,0.613,dömet,0.604,furstefamilj,0.608
4,äterwanda,0.727,despotisk,0.633,herrskare,0.605,suveränitet,0.602,suveränerne,0.607
5,nystland,0.727,landsherre,0.625,nndersåter,0.605,krigsherre,0.599,furstehus,0.602
6,krigsförklaring,0.723,suveränitet,0.624,holsteinarne,0.605,suveränerne,0.596,dömet,0.599
7,alliance,0.723,helstat,0.624,suveränerne,0.604,furstehus,0.596,sjelfherrskare,0.593
8,mediation,0.722,usurpera,0.624,ställföreträdare,0.604,monark,0.588,monark,0.585
9,förswarare,0.717,integritet,0.621,tronarfvinge,0.603,herskares,0.585,mägtigaste,0.582
10,belgierne,0.716,oafhängig,0.619,regent,0.595,länsherre,0.585,suveränitet,0.582
11,kufwa,0.714,förbundsstat,0.617,landsherre,0.595,mägtigaste,0.582,herskares,0.577
12,undersäter,0.713,garanterat,0.614,höghetsrätt,0.593,landsherre,0.58,protektor,0.575
13,pohlackarne,0.712,medborgarne,0.613,centralmakt,0.593,furstefamilj,0.575,länsherre,0.574
14,medwerkan,0.712,tillintetgörelse,0.611,förbundsstat,0.592,jämbördig,0.573,sjöstat,0.573
15,declaration,0.711,vasall,0.611,habsburgsk,0.592,sjelfherrskare,0.572,polynesisk,0.572
16,medla,0.71,vindicera,0.605,skyddsherre,0.591,herskarne,0.571,preusen,0.572
17,majrst,0.709,centralmakt,0.605,småstat,0.589,protektor,0.571,karaweloff,0.571
18,handbref,0.709,prerogativ,0.605,orleanistiska,0.589,furste,0.569,krigsherre,0.57
19,obrottslig,0.707,öfvervälde,0.604,enväldig,0.589,polynesisk,0.568,landsherre,0.569
20,betryggande,0.707,fältrop,0.604,statschef,0.588,preusen,0.567,herskarne,0.568
21,etrurien,0.706,preusten,0.601,progressisterna,0.586,alliansfördrag,0.567,storherren,0.567
22,hellas,0.706,aktift,0.601,skyddsvakt,0.586,integritet,0.567,alliansfördrag,0.567
23,protestation,0.706,tillskansa,0.601,monark,0.585,suveränitetsrättigheter,0.566,loyala,0.565
24,hospodar,0.706,okränkbarhet,0.601,diktatorisk,0.584,regent,0.565,suveränitetsrättigheter,0.565
25,jnfanten,0.706,diktatur,0.6,etrurien,0.584,käjsare,0.565,furste,0.562
26,minderårighet,0.705,afdanka,0.6,öfverherre,0.584,traktatsenliga,0.563,jämbördig,0.561
27,prerogativ,0.705,dödsfiende,0.598,störtande,0.583,slesvigholstein,0.561,långmodighet,0.559
28,palen,0.705,okränkt,0.597,påfvestolen,0.582,okränkt,0.561,vicekung,0.559
29,bastista,0.704,grundsattser,0.597,dynasti,0.582,potentat,0.561,anams,0.558
30,arnade,0.704,konservatif,0.596,regentinna,0.582,sjöstat,0.56,lierskare,0.558
31,colonier,0.704,etrurien,0.596,bäjern,0.581,långmodighet,0.56,makterne,0.557
32,nederländerne,0.703,vedersakare,0.596,poleon,0.581,signatärmakt,0.559,slesvigholstein,0.557
33,rättstillstånd,0.703,omskapa,0.594,landsdelarnes,0.581,karaweloff,0.559,potentat,0.557
34,vasall,0.703,eventuel,0.594,vaticanen,0.579,herrstare,0.559,herskaren,0.557
35,förmedling,0.702,intereste,0.594,folkrättslig,0.579,okränkbar,0.557,signatärmakt,0.556
36,swerge,0.702,anslutning,0.593,magten,0.579,storherren,0.557,stormaktsställning,0.556
37,trohetsed,0.701,intervenera,0.593,kurhessen,0.579,lierskare,0.557,centralmakt,0.556
38,integritet,0.701,beherrskare,0.593,vänskapsförhållande,0.577,khediv,0.557,kejsarmakt,0.555
39,nädigste,0.7,loyala,0.593,preusen,0.577,förtryckande,0.556,magters,0.554
40,provincen,0.7,statsklokhet,0.593,mikado,0.576,anams,0.555,magier,0.554
41,siendtliga,0.7,undersäter,0.592,mellanstaterna,0.573,stormaktsställning,0.554,storherre,0.554
42,storhertig,0.7,fredsvilkor,0.591,slesvigholstein,0.573,nationalitetsprincip,0.554,declaration,0.553
43,kriga,0.699,kränkning,0.591,taikuns,0.571,storherre,0.554,fredsälskande,0.553
