,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,slutmening,0.684,protest,0.712,protest,0.68
1,bevisföring,0.681,insaga,0.589,insaga,0.585
2,gravamen,0.663,polemisera,0.579,protestera,0.579
3,invänningar,0.661,protestera,0.569,polemisera,0.567
4,junkerpartiet,0.659,invänningar,0.563,invänningar,0.55
5,eyssland,0.657,varningsord,0.55,opinionsyttring,0.537
6,tadelvotum,0.654,gravamen,0.548,vederläggande,0.535
7,mihtroendevotum,0.652,vederläggande,0.529,1529,0.533
8,låneförslag,0.651,opinionsyttring,0.529,hasenclever,0.533
9,gendref,0.651,smutskastning,0.529,gravamen,0.532
10,klandervotum,0.65,1529,0.527,gendref,0.529
11,ordskifte,0.649,motdrag,0.527,varningsord,0.529
12,windthorst,0.649,rundskrifvelsen,0.525,wavrinskys,0.526
13,laskers,0.648,riktat,0.524,opponera,0.522
14,devuerade,0.648,slutmening,0.524,prestwäldet,0.521
15,obehörighet,0.647,hasenclever,0.523,afslagsyrkande,0.52
16,räsonnemanger,0.644,motskrift,0.522,injurieprocess,0.519
17,ålerremiss,0.643,programm,0.522,motskrift,0.519
18,iletta,0.642,försvarsskrift,0.521,antipathier,0.518
19,gneist,0.642,insidiös,0.519,smutskastning,0.518
20,gendrifva,0.64,wavrinskys,0.517,motdrag,0.517
21,diatrib,0.64,mothugg,0.516,reserwation,0.516
22,berlinerkabinettet,0.637,jaabseks,0.516,riktat,0.516
23,oförtydbar,0.635,encyclican,0.514,demonstra,0.515
24,sanningslöshet,0.635,statslag,0.513,slutmening,0.515
25,statslag,0.634,beriktigande,0.513,fribandelsvänliga,0.515
26,otillständig,0.634,prestwäldet,0.513,rundskrifvelsen,0.515
27,åtalande,0.634,dementi,0.513,filippik,0.515
28,regeringsledamot,0.633,admonition,0.512,mothugg,0.513
29,illiberal,0.632,genmäle,0.512,angifvelserna,0.513
30,meningsvän,0.631,uttalande,0.512,jaabseks,0.512
31,janvier,0.631,arbetarekretsar,0.512,hemlandsposten,0.511
32,lärosystem,0.63,imperativ,0.511,programm,0.51
33,cetawayo,0.629,ungczechiska,0.51,likbränningsfrågan,0.51
34,insidiös,0.629,högertidningarne,0.51,oparlamentarisk,0.51
35,nttalat,0.628,regeringed,0.509,försvarsskrift,0.51
36,klagopunkt,0.628,gendrifva,0.509,frihandels,0.508
37,katholikerne,0.628,oparlamentarisk,0.509,anklagelseskrift,0.508
38,vederläggande,0.628,klagopunkt,0.508,admonition,0.507
39,encyklika,0.627,hemlandsposten,0.508,utskottsordförande,0.506
40,advokatorisk,0.625,argumentering,0.508,ohöfligheter,0.505
41,inlåter,0.625,antisemitism,0.507,ungczechiska,0.505
42,skattevägran,0.625,angifvelserna,0.507,ovederhäftig,0.505
43,förhindradt,0.624,anklagelseskrift,0.506,tvångsförsäkring,0.504
44,skatteförslag,0.624,antipathier,0.506,aflattad,0.504
45,nationalförsvarsregeringen,0.624,tyskfiendtliga,0.506,unionsförslag,0.504
46,skojeri,0.623,invändning,0.505,förmaningstal,0.502
47,ogrannlagenhet,0.622,datering,0.505,klagopunkt,0.502
48,arméfråga,0.621,demonstra,0.504,oresonlighet,0.502
49,fourtou,0.621,tvångsförsäkring,0.504,rösträttsvänliga,0.502
50,djerfves,0.621,konfidentiell,0.504,ratazzis,0.501
51,insaga,0.621,förmaningstal,0.504,regeringsledamot,0.5
52,polemisera,0.621,oresonlighet,0.504,tacksamhetsadress,0.5
53,lindhagens,0.62,inlägga,0.504,encyclican,0.5
54,granier,0.62,osservatore,0.504,ritschl,0.499
55,omredigering,0.619,fribandelsvänliga,0.503,statslag,0.499
56,resumera,0.619,berlinerkabinettet,0.503,kriticerade,0.499
57,antipathier,0.619,filippik,0.503,arbetarekretsar,0.499
58,öfverensstämt,0.618,unionsförslag,0.503,imperativ,0.499
59,kultusministerns,0.616,ratazzis,0.502,ålerremiss,0.499
60,dufaures,0.616,mordsak,0.502,obefogenhet,0.499
61,syslem,0.615,försyndelse,0.501,embetsätgärd,0.499
62,taktlös,0.615,oböjlighet,0.501,liebknechts,0.498
63,argumentering,0.614,digression,0.5,mihtroendevotum,0.498
64,dupins,0.614,vederläggning,0.5,anmärkningsanledning,0.498
65,skrifvelserna,0.614,osannfärdighet,0.5,anfördo,0.497
66,vidblifva,0.614,afslagsyrkande,0.5,ofosterländska,0.497
67,påfvemakten,0.614,tolerant,0.499,gendrifva,0.497
68,storo,0.614,junkerpartiet,0.499,högertidningarne,0.497
69,valmanifest,0.613,regeringsledamot,0.499,oböjlighet,0.497
70,kassering,0.613,aflattad,0.498,tyskfiendtliga,0.496
71,tydt,0.612,injurieprocess,0.497,frihetssinne,0.496
72,förvränga,0.612,diatrib,0.496,underkännande,0.496
73,ultramontanerne,0.612,låneförslag,0.495,regeringed,0.496
74,rogeringen,0.612,embetsätgärd,0.495,lothigii,0.496
75,afvoghet,0.612,underkännande,0.495,öppningstal,0.496
76,resonnement,0.612,bevismaterial,0.495,ordförandemästare,0.495
77,rationalistisk,0.612,imbriani,0.495,antisemitism,0.495
78,siiges,0.612,mihtroendevotum,0.494,bibelcitat,0.494
79,lasker,0.611,likbränningsfrågan,0.494,motträda,0.494
80,principielt,0.611,tillvitelse,0.494,stormaktspolitik,0.494
