,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,alsheda,0.894,utvecklingsskede,0.593,tidskifte,0.549,phas,0.573
1,ryrs,0.886,vändpunkt,0.574,utvecklingsskede,0.546,utvecklingsskede,0.568
2,kihla,0.885,försvarsfråga,0.566,phas,0.542,tidskifte,0.567
3,tönnersjö,0.883,tidskifte,0.56,riksdagsskick,0.527,tidsskede,0.54
4,thorstuna,0.88,fiågan,0.557,tidsskede,0.523,riksdagsskick,0.536
5,qwistbro,0.879,vänning,0.549,period,0.523,literaturhistoriska,0.531
6,jersnäs,0.879,epokgörande,0.545,epok,0.512,kalmarunion,0.53
7,unnaryds,0.876,tidsskede,0.545,kalmarunion,0.511,halfsekel,0.529
8,gammalstorps,0.874,omhvälfningar,0.545,literaturhistoriska,0.503,upplösningsprocess,0.525
9,frendefors,0.874,valrörelse,0.541,upplösningsprocess,0.501,epok,0.524
10,misterhults,0.873,utvecklingsstadium,0.54,öfvergångsperiod,0.5,öfvergångsperiod,0.523
11,sundals,0.872,ligheterna,0.538,tidsomständigheter,0.499,schackparti,0.521
12,loos,0.872,skattelag,0.538,halfsekel,0.495,tidsomständigheter,0.516
13,kinnewalds,0.871,furstedömet,0.537,brytningstid,0.494,teratur,0.514
14,korsberga,0.87,valperiod,0.535,aktieföretag,0.491,vändpunkt,0.514
15,walbo,0.87,familjehemlighet,0.532,schackparti,0.49,utvecklingsarbete,0.509
16,borgstena,0.869,representationsskick,0.532,utvecklingshistoria,0.489,utvecklingshistoria,0.509
17,söderakra,0.869,organisationsfråga,0.532,järnvägsplan,0.487,aktuell,0.506
18,örby,0.868,öfvergångsperiod,0.531,vändpunkt,0.483,samfundsförhållandena,0.506
19,frykeruds,0.866,skattefråga,0.531,teratur,0.482,humanisera,0.505
20,himble,0.866,ningarnes,0.53,samfundsförhållandena,0.482,vårbrytning,0.503
21,ukna,0.866,stede,0.529,rättsuppfattning,0.482,ntveckling,0.503
22,redwägs,0.864,bränvinslagstiftningen,0.529,segsliten,0.48,bragdrik,0.501
23,twings,0.864,åtgjordt,0.528,kejsaredömets,0.48,metafysik,0.5
24,sandsjö,0.864,trågan,0.528,metafysik,0.479,rättsuppfattning,0.499
25,wårdsbergs,0.863,armélag,0.527,humanisera,0.477,period,0.498
26,höreda,0.862,phas,0.527,margarinlagen,0.476,memoarverk,0.498
27,brabo,0.862,jernvägsfrågan,0.526,världshändelse,0.475,margarinlagen,0.498
28,degerfors,0.861,apotheos,0.525,aktuell,0.474,nationalangelägenhet,0.498
29,gerds,0.861,grundlagsfråga,0.525,utvecklingsarbete,0.474,kejsaredömets,0.497
30,faurås,0.859,hänsvunnen,0.525,skiftesrik,0.473,teatersäsong,0.497
31,norrwidinge,0.859,utvecklingsgång,0.525,händelserik,0.472,aktieföretag,0.496
32,orlunda,0.859,grufvestadgan,0.524,redande,0.472,skiftesrik,0.495
33,ödeshögs,0.858,momenterna,0.524,befordringsärende,0.471,skeppsbyggnadskonst,0.494
34,undenäs,0.856,meningsbrytning,0.523,ntveckling,0.47,brytningstid,0.494
35,fliseryds,0.856,evenement,0.523,kiellands,0.47,apanagefrågan,0.492
36,ulleråkers,0.856,ståndsförfattning,0.522,författningsstrid,0.47,tec,0.492
37,inhysesman,0.855,erda,0.522,nationalangelägenhet,0.469,världshändelse,0.492
38,arby,0.855,tidsriktning,0.521,hufvudstads,0.468,öfvervunnet,0.491
39,örtomta,0.855,inordna,0.52,riksdagshistoria,0.467,partiförhållanden,0.49
40,ähs,0.853,brottmålslag,0.52,affärsverlden,0.466,personalombyte,0.49
41,drothems,0.853,skjutsfrågan,0.52,tec,0.466,myccet,0.49
42,redvägs,0.852,humanism,0.519,storhetstid,0.465,riksdagshistoria,0.49
43,äsele,0.852,påbegynna,0.518,wändpunkt,0.465,innehällsrikt,0.489
44,silleruds,0.852,ståthållarefrågan,0.518,apanagefrågan,0.463,landtdagsvalen,0.489
45,stafnäs,0.85,samhällsutveckling,0.517,partiförhållanden,0.463,kiellands,0.489
46,thorslunda,0.85,florine,0.516,asflöjanden,0.462,kulturell,0.489
47,ingatorps,0.849,partigruppering,0.516,vårbrytning,0.461,wändpunkt,0.489
