,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,konflikt,0.858,omstörtning,0.788,representationssätt,0.695,tullsystem,0.644,tullsystem,0.651
1,misshällighet,0.857,samhällsskick,0.784,samhällsskick,0.695,samhällsskick,0.642,representationsskick,0.643
2,tidehvarfvets,0.854,representativ,0.77,statsstick,0.664,representationsskick,0.641,samhällsskick,0.642
3,öfvervigt,0.853,napoleonska,0.749,folkmakt,0.647,regeringssystem,0.63,regeringssystem,0.63
4,ansågos,0.85,regeringssätt,0.747,ståndsrepresentation,0.646,riksdagsskick,0.627,riksdagsskick,0.627
5,bevekelsegrund,0.849,rättsenlig,0.747,statsform,0.645,statsstick,0.621,statsstick,0.621
6,sträfvar,0.848,rättstillstånd,0.745,representationsform,0.63,regeringssätt,0.616,statsförfattning,0.611
7,inveckla,0.847,styrelseform,0.744,krigsförfattning,0.627,statsförfattning,0.612,regeringssätt,0.609
8,förhållanderne,0.846,stabilitet,0.742,ståndsprincipen,0.623,konungadöme,0.609,konungadöme,0.609
9,ofullkomlighet,0.839,constitutionella,0.739,statsinrättning,0.622,folkmakt,0.609,folkmakt,0.609
10,förklarlig,0.839,bålverk,0.737,samhällsmakt,0.621,konungaätt,0.606,konungaätt,0.606
11,betraktare,0.838,ideerna,0.736,styrelsesätt,0.621,parlamentarism,0.594,parlamentarism,0.602
12,statsekonomisk,0.836,feodal,0.732,härorganisation,0.617,samhällsförhållande,0.592,styrelsesätt,0.593
13,demoralisera,0.833,statsförvaltning,0.729,tullsystem,0.615,statsinrättning,0.591,statsinrättning,0.591
14,hvaråt,0.831,jemvigt,0.727,arméorganisation,0.613,ståndsförfattning,0.589,regim,0.59
15,öfverlägsenhet,0.83,fyrdelning,0.725,härordning,0.612,författningsstrid,0.587,ståndsförfattning,0.589
16,undvara,0.83,pånyttfödelse,0.724,fyrdelning,0.612,representationssätt,0.584,författningsstrid,0.587
17,statsförvaltning,0.829,konstitutionel,0.723,nationalrepresentation,0.611,styrelsesätt,0.583,representationssätt,0.584
