,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,åsigt,0.811,åsigt,0.682
1,uppfattning,0.63,åsigler,0.601
2,åsigler,0.625,förmening,0.576
3,mening,0.61,åsig,0.575
4,öfvertygelse,0.6,uppfattning,0.556
5,åsig,0.593,öfvertygelse,0.551
6,förmening,0.584,hysto,0.542
7,oförgriplig,0.576,tullpolitisk,0.539
8,tillvägagångssätt,0.571,asigter,0.537
9,landsförrädisk,0.57,landsförrädisk,0.535
10,inkonsekvens,0.564,inkonsekvens,0.534
11,princip,0.562,nykterhetsfrägan,0.532
12,tudelning,0.556,betraktelsesätt,0.532
13,åsigtcr,0.554,princip,0.532
14,hysto,0.554,sträfvauden,0.531
15,asigter,0.553,broschyrförfattare,0.53
16,lagfästa,0.552,bvilkeu,0.529
17,tvångsförsäkring,0.55,räsonnemanger,0.528
18,tullpolitisk,0.549,fasthellre,0.525
19,comtes,0.548,oförgriplig,0.525
20,vidhållande,0.548,klagopunkt,0.525
21,sosialism,0.547,afsig,0.525
22,betraktelsesätt,0.546,cederborghs,0.524
23,uttalad,0.546,tudelning,0.523
24,frångående,0.545,tvångsförsäkring,0.523
25,grundlagstolkning,0.544,samhällsonda,0.523
26,språkfråga,0.544,tillvägagångssätt,0.521
27,framböllo,0.543,ståndpunkt,0.52
28,grundado,0.542,obrottsligen,0.52
29,samhällsonda,0.54,beskattningssystem,0.517
30,cederborghs,0.539,läsart,0.517
31,rättstafningsfrågan,0.538,comtes,0.517
32,rösträttsförhållanden,0.538,grundsats,0.517
33,grundtvigianism,0.538,lewal,0.516
34,innebyggarnes,0.536,lärosätt,0.516
35,räsonnemanger,0.536,terminologi,0.516
36,nppfattning,0.535,språkfråga,0.514
37,oböjlighet,0.535,bränvinslagstiftning,0.512
38,sträfvauden,0.535,uttalad,0.512
39,klagopunkt,0.533,sosialism,0.511
40,räsonnemang,0.533,individualistisk,0.511
41,övertygelse,0.532,rösträttsförhållanden,0.511
42,obrottsligen,0.532,göteborgssystemets,0.51
43,uppfattningssätt,0.532,mening,0.51
44,baslut,0.532,tanko,0.509
45,fasthellre,0.531,innebyggarnes,0.509
46,qvinnofrågan,0.53,grundado,0.509
47,jehova,0.53,rättstafningsfrågan,0.509
48,individualistisk,0.53,försigtigast,0.509
49,programpunkt,0.529,patio,0.509
50,konsulatsväsendet,0.529,upprepad,0.508
51,yttrado,0.528,programpunkt,0.508
52,tanko,0.528,oböjlighet,0.508
53,gäldo,0.527,militärförfattare,0.508
54,bränvinsfrågan,0.527,påförhand,0.508
55,afskrifningsplan,0.527,uppfattningssätt,0.507
56,broschyrförfattare,0.527,grundlagstolkning,0.507
57,ultramontanernas,0.527,begrafningssätt,0.507
58,afsig,0.527,maktinnehafvarne,0.507
59,fredsmäkling,0.527,skolform,0.507
60,vederläggande,0.527,qvinnofrågan,0.506
61,ledareskap,0.526,vensterledarne,0.506
62,frihandelsprincip,0.526,sosiala,0.506
63,åskådningssätt,0.526,grundlagsstiftare,0.505
64,göteborgssystemets,0.525,supposition,0.505
65,verldsåsigt,0.525,dubier,0.505
66,öfverlygelsen,0.525,förargelseklippa,0.504
67,mätningsregel,0.525,ntsago,0.504
68,bvilkeu,0.524,anläg,0.504
69,läsart,0.524,lagfästa,0.503
70,äsigter,0.524,zachrissonska,0.503
71,öfvortygad,0.524,labori,0.503
72,utskottot,0.523,framböllo,0.503
73,troplong,0.523,räsonnemang,0.503
74,motbevisning,0.523,rikskausleren,0.502
75,förhandlingspolitik,0.523,unionskonflikten,0.502
76,unionistisk,0.522,möjigt,0.502
77,öfvertygadt,0.522,mätningsregel,0.502
78,söndagsskoleverksamhet,0.522,courtenay,0.501
79,lärosätt,0.522,hufvudvilkoret,0.501
80,koncessionsansökning,0.522,eidsvoldsmännen,0.501
81,partiledning,0.521,öfvortygad,0.501
82,sidoinflytelser,0.521,framtidsprogram,0.501
83,påstående,0.521,försvarsnihilistiska,0.5
84,zachrissonska,0.521,merode,0.5
85,påtryckningsmedel,0.521,jembördiga,0.5
86,partiprogram,0.521,omsadling,0.5
87,menings,0.52,rederiförening,0.5
88,förhållan,0.52,oumbärlighet,0.5
89,lewal,0.519,krigsförfattning,0.5
90,kompromissförslag,0.519,fredsmäkling,0.5
91,rallierade,0.519,troplong,0.5
92,oppositionel,0.519,beköfde,0.5
93,nykterhetsfrägan,0.518,jordbruksminister,0.499
94,centerman,0.518,ultrakonservativ,0.499
95,beskattningssystem,0.518,straffsystem,0.499
96,värneplikten,0.518,finansreform,0.499
97,rikskausleren,0.518,åsigton,0.498
98,dubier,0.518,sidoinflytelser,0.498
99,stefanotraktaten,0.517,hälda,0.498
