,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,tillbakavisa,0.642,misskänna,0.552,försvarare,0.627,försvar,0.596,försvarare,0.591
1,bekämpa,0.64,försvarare,0.547,försvar,0.612,försvarare,0.589,försvaradt,0.556
2,skymfa,0.638,uppvigla,0.543,öfverlista,0.553,sörswara,0.575,försvar,0.54
3,kamarilla,0.627,bundsförvandter,0.54,värna,0.544,försvaradt,0.547,bundsförvant,0.535
4,genomdrifva,0.625,konsti,0.538,gallikanska,0.544,ofira,0.539,danskhet,0.533
5,vanära,0.622,sträfvade,0.536,ultramontanernas,0.543,bundsförvant,0.535,försvarslinie,0.531
6,vanhedra,0.622,pietistisk,0.535,vedersakare,0.543,sjelfvo,0.535,sörswara,0.524
7,förtala,0.619,tillskansa,0.534,rentvå,0.542,öfverlägsne,0.534,öfverlägsne,0.521
8,tillmål,0.619,grundvilkor,0.534,öfvermäktig,0.541,rentvå,0.534,människovärde,0.515
9,bemantla,0.619,bemantla,0.533,meningsvän,0.539,ytra,0.533,ofelbarhetslära,0.515
10,skändlig,0.619,insmuggling,0.531,påfvisk,0.534,förfäkta,0.53,flender,0.511
11,envis,0.619,våldföra,0.53,vidhållande,0.533,vidhållande,0.53,afsvuren,0.508
12,insinuera,0.616,förhata,0.53,föregifva,0.529,intransigenterna,0.529,flendtliga,0.508
13,nationaläran,0.614,motvigt,0.528,påtruga,0.528,danskhet,0.526,missakta,0.507
14,välmening,0.614,deducera,0.528,vidblifva,0.524,nedsvärta,0.524,gallikanska,0.504
15,äfventyra,0.614,försvar,0.527,opponera,0.523,afsvuren,0.523,afsvurne,0.503
16,afstyra,0.613,lamoriciére,0.527,undskylla,0.521,förekasta,0.522,öfversittare,0.502
17,öfvertala,0.613,kufva,0.525,sjelfständighetskänsla,0.52,bojs,0.522,ofira,0.501
18,eftersträfva,0.613,tillvälla,0.525,troddo,0.52,flendtliga,0.518,abomey,0.501
19,afskudda,0.612,irländarne,0.525,heltzen,0.52,mångomtalad,0.518,symbolist,0.501
20,kufva,0.612,uppegga,0.524,okränkbar,0.52,rémusat,0.516,juristeri,0.5
21,argument,0.611,mauguin,0.523,uttalad,0.519,prostituera,0.515,värna,0.5
22,befästning,0.611,indianerne,0.523,flendtliga,0.517,öfvervunne,0.515,orättrådig,0.499
23,illvilja,0.611,påtvinga,0.521,makton,0.516,öfversittare,0.515,lålla,0.497
24,uppvigla,0.61,faktion,0.521,beskylde,0.516,skatteförenklingsfrågan,0.515,skatteförenklingsfrågan,0.496
25,väpna,0.609,utrotande,0.521,åklagaremakten,0.515,gendrifva,0.514,öfvergåfve,0.496
26,beherrska,0.609,tillrättavisa,0.52,vedervåga,0.514,eäga,0.514,våldförande,0.495
27,lömsk,0.609,härnad,0.52,våldförande,0.513,människovärde,0.514,balkanpassen,0.494
28,utrotande,0.609,öfverflygla,0.519,gendrifva,0.512,missledt,0.513,turkomanerne,0.494
29,konstitutionel,0.609,samverka,0.519,pinard,0.512,själfständighet,0.512,anarkistista,0.494
30,sympathier,0.608,utmåla,0.519,bedrogo,0.512,krigspolitik,0.511,prostituera,0.493
31,öfvergifva,0.607,påfvedöme,0.518,öfvergifvande,0.511,neapolitanarne,0.511,ytra,0.493
32,oförskräckt,0.607,vedersakare,0.518,menniskofruktan,0.511,minoritetsregering,0.511,religionsförföljelse,0.493
33,samvete,0.606,skatteförenklingsfrågan,0.516,samvetsfrihet,0.511,häfda,0.51,förfäkta,0.492
34,opponera,0.606,dufaure,0.516,ernof,0.511,kératry,0.51,spjärna,0.492
35,araberne,0.606,demagogisk,0.516,värnande,0.51,afsvurne,0.51,svarfar,0.492
36,ingifver,0.606,tillbakavisa,0.516,besköto,0.51,motträda,0.51,vapenlös,0.491
37,motsätta,0.605,öfvergifva,0.515,rémusat,0.51,vindicera,0.51,fullrustad,0.491
38,samverka,0.605,gendrifva,0.515,öfverherre,0.51,försvarande,0.51,anfallsvapen,0.49
39,underkufva,0.605,påbörda,0.515,harangera,0.51,pinard,0.509,själfständighet,0.49
40,visdom,0.605,bekriga,0.514,försvarsställning,0.509,juristeri,0.508,häfda,0.49
41,byråkrati,0.604,öfvermäktig,0.512,återinträde,0.509,mauguin,0.508,ultramontanernas,0.49
42,upphäfva,0.603,genomdrifvit,0.512,advokatorisk,0.508,unionistiske,0.507,konservatif,0.489
43,genomdrifwa,0.603,angrepo,0.512,eftersträfva,0.508,elsassarne,0.507,helldorff,0.489
44,demagogisk,0.603,förskansa,0.512,hufvuduppgift,0.508,försvarslinie,0.507,vensterparti,0.489
45,enständig,0.603,folkvald,0.512,nerne,0.508,nationalviljan,0.506,kératry,0.489
46,afmåla,0.603,föregifva,0.511,omgifvit,0.508,svarfar,0.506,lärosystem,0.488
47,thronens,0.603,koryfé,0.511,lärosystem,0.508,argumentera,0.506,neutrum,0.488
