,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,penninge,0.776,tidehvarfvets,0.63,interesse,0.675,interesse,0.806,interesse,0.758,interesse,0.686
1,uplysningen,0.775,individuell,0.628,interess,0.593,skarpskyttesaken,0.621,intressera,0.612,tressa,0.586
2,äligga,0.772,interesse,0.627,interessen,0.592,interesset,0.606,intresfe,0.602,inträsse,0.583
3,upgifter,0.766,social,0.624,inlresse,0.559,interessen,0.604,inträsse,0.595,interesset,0.572
4,afwända,0.76,materiell,0.615,uplyste,0.558,välförstådd,0.592,skarpskyttesaken,0.591,lifaktigheten,0.567
5,enstilt,0.76,rättskänsla,0.614,verldshistorisk,0.558,interess,0.588,sympati,0.586,balkanfolk,0.561
6,plister,0.759,sympathi,0.613,intresie,0.557,wälförstädda,0.574,interesset,0.585,intresso,0.557
7,viss,0.758,sympathier,0.612,interessena,0.552,bindemedel,0.572,tressa,0.574,lifsintresse,0.556
8,engelffe,0.756,bevekelsegrund,0.611,monopolist,0.55,sympathi,0.568,välförstådd,0.571,vehikel,0.556
9,oafhängig,0.751,sympati,0.609,egoistisk,0.549,sympathier,0.565,danskar,0.567,skarpskytteidéen,0.556
10,stydd,0.749,oförvillad,0.609,samverka,0.548,märklighet,0.564,intrehe,0.566,bildnings,0.555
11,hirad,0.749,reformvän,0.607,samhällsangelägenhet,0.547,omfattadt,0.561,balkanfolk,0.566,tankeverksamhet,0.555
12,answarighet,0.749,uplyste,0.606,samhällsfråga,0.546,handelsintresse,0.56,wälförstädda,0.563,samhällslifvets,0.55
13,förenlig,0.749,oeftergiflig,0.605,intolerans,0.544,intressera,0.557,bildnings,0.562,kulturell,0.549
14,indragning,0.748,ofullkomlighet,0.605,lifsfråga,0.542,sjelfverksamhet,0.557,sympathier,0.559,skytterörelse,0.549
15,stickelighet,0.748,historik,0.605,nationalkänsla,0.54,partiställning,0.557,intressed,0.558,sträfvauden,0.549
16,mennistors,0.747,polemik,0.603,sympathi,0.54,statsintresse,0.555,förenings,0.557,interess,0.548
17,werkeliga,0.747,mänsklig,0.6,intreste,0.539,intreste,0.555,aktuelt,0.555,ntveckling,0.548
