,sv_1760,sv_1760_d,sv_1780,sv_1780_d,sv_1800,sv_1800_d,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,sweriges,0.732,österrike,0.657,underhandling,0.555,upprätthållande,0.473,drottningatorna,0.506,enighet,0.524,endrägten,0.59,endrägten,0.573
1,ck,0.715,rysiland,0.623,definitiv,0.554,integritet,0.454,enighet,0.484,medling,0.516,verldsfredens,0.565,verldsfreden,0.541
2,hwilkct,0.708,ryssland,0.6,lngland,0.548,frid,0.449,alliancen,0.481,villafranca,0.514,samhällsfrid,0.564,privatlifvets,0.52
3,bag,0.708,underhandling,0.598,bemedling,0.536,oafhängighet,0.448,befästad,0.479,npprätthälla,0.513,samdrägt,0.561,samdrägt,0.519
4,nara,0.707,bemedling,0.594,österrike,0.531,fredsslut,0.445,tilsit,0.475,återupprättande,0.512,verldsfreden,0.559,npprätthälla,0.519
5,fortsätta,0.696,underhandla,0.581,ryssland,0.53,tractaten,0.444,biläggning,0.454,endrägten,0.51,neutralitet,0.544,samhällsfrid,0.518
6,nast,0.691,waraktig,0.571,ratificera,0.516,tilsit,0.441,kontrarevolution,0.454,fredlig,0.505,grannsämja,0.54,frod,0.516
7,offentelig,0.687,holland,0.563,förlikning,0.513,handelstraktat,0.439,status,0.452,upprätthållande,0.501,npprätthälla,0.539,eröfringskrig,0.515
8,ode,0.685,preussen,0.562,återställande,0.509,rättstillstånd,0.435,meriko,0.447,mäkling,0.5,endrägt,0.534,verldsdelens,0.515
9,artilleri,0.678,port,0.557,rysiland,0.508,byssland,0.433,försonlighet,0.447,nationalitetsprincip,0.499,entente,0.526,återupprättadt,0.509
10,ax,0.677,alliance,0.556,waraktig,0.506,status,0.433,wapenstilleständ,0.442,entente,0.497,verldsdelens,0.526,mataafa,0.507
11,torn,0.676,spanien,0.556,efterlängtad,0.504,medlare,0.432,återställande,0.438,samdrägt,0.494,skiljedomsföreningen,0.526,fredlig,0.507
12,wapen,0.676,återställande,0.553,tilsit,0.5,constitutionella,0.432,intervenera,0.438,fredsslut,0.492,frod,0.521,grannsämja,0.505
13,infalla,0.674,westindien,0.553,wänstap,0.499,lngland,0.431,neutralitet,0.438,nikolsburg,0.491,balkanfrågan,0.514,enhetsverk,0.505
14,bl,0.674,frankrike,0.552,rystland,0.496,ostörd,0.429,donaufurstendömenas,0.436,endrägt,0.491,statsordning,0.511,återupp,0.504
15,riddarhus,0.674,offensiv,0.551,danmark,0.493,kejsarkrona,0.427,lngland,0.434,londonerfördraget,0.489,privatlifvets,0.51,balkanfrågan,0.502
16,gara,0.674,rystland,0.551,bibehållande,0.492,orienten,0.426,fredsslut,0.431,verldsfreden,0.487,balkanfolk,0.507,entente,0.502
17,slott,0.673,engeland,0.547,underhandla,0.491,kufva,0.423,fredsförslag,0.43,återförening,0.485,endrägtens,0.506,vapenstillestånd,0.502
18,wärst,0.671,portugal,0.543,formlig,0.489,despotisk,0.423,allians,0.429,lugn,0.485,frid,0.503,nikolsburg,0.501
19,pl,0.67,defensiv,0.543,undersäter,0.488,förhållanderne,0.422,bibehållande,0.428,oafhängighet,0.484,enighet,0.502,verldskrig,0.5
20,aila,0.67,venedig,0.543,traktat,0.485,sjelfständighet,0.418,samdrägt,0.428,vänskapsförhållande,0.481,berlintraktaten,0.501,samförstånd,0.5
21,lill,0.669,rytzland,0.538,tractaten,0.483,traktat,0.418,handelsfördrag,0.428,eröfringskrig,0.48,okränkt,0.501,täflingskamp,0.5
22,ad,0.668,oenighet,0.535,äterställande,0.483,ryssland,0.415,öfwerläggningarne,0.427,rankrike,0.479,återupprättadt,0.499,separatfred,0.5
23,wäster,0.667,förlikning,0.535,tractat,0.483,afslutade,0.415,italienfla,0.424,sämja,0.477,etiopien,0.499,vestmagterna,0.498
