,sv_1820,sv_1820_d,sv_1840,sv_1840_d,sv_1860,sv_1860_d,sv_1880,sv_1880_d,sv_1900,sv_1900_d
0,rättstillstånd,0.858,oafhängighet,0.768,oafhängighet,0.723,försvarande,0.711,oafhängighet,0.716
1,alliance,0.848,ottomanisk,0.755,afträdelse,0.682,oafhängighet,0.71,försvarande,0.712
2,helvetista,0.847,helstat,0.734,rumeniens,0.679,okränkt,0.703,okränkt,0.709
3,faction,0.843,anslutning,0.727,autonomi,0.678,afträdelse,0.682,afträdelse,0.684
4,murcia,0.842,tillintetgörelse,0.724,helstat,0.678,verldsfreden,0.677,vasallstat,0.679
5,armce,0.841,usurpera,0.715,nationalitetsprincip,0.676,supremati,0.675,rumeniens,0.679
6,invertes,0.84,garanterat,0.714,sönderstyckande,0.675,rumeniens,0.675,verldsfreden,0.678
7,öfverhet,0.837,statsförbund,0.714,lydland,0.674,vasallstat,0.674,supremati,0.674
8,bastista,0.836,tractaten,0.713,herligdömena,0.674,oförkränkt,0.672,lifsintressen,0.674
9,siendtliga,0.836,constitutionella,0.712,okränkt,0.662,lifsintressen,0.672,oförkränkt,0.673
10,ottomanisk,0.834,ryhlands,0.712,kompensation,0.662,neutralitet,0.67,suveränitet,0.67
11,förhållanderne,0.834,intervenera,0.71,neutralisering,0.661,hegemoni,0.667,neutralitet,0.668
12,undersäter,0.834,förbundsstat,0.707,höghetsrätt,0.661,neutralisering,0.665,hegemoni,0.667
13,angelägenheterne,0.832,makterne,0.706,landsdelarnes,0.661,suveränitet,0.665,herligdömena,0.667
14,dogm,0.832,oafhängig,0.705,suveränitet,0.66,herligdömena,0.664,stormaktsställning,0.666
15,stabilitet,0.832,slesvigs,0.703,occupation,0.659,stormaktsställning,0.661,neutralisering,0.663
16,nissa,0.831,protektorat,0.702,öfwerhöghet,0.657,nationalitetsprincip,0.659,sjelfbestämningsrätt,0.66
17,despotisk,0.83,suveränitet,0.701,makterne,0.657,maktområde,0.657,autonomi,0.66
18,fredsslut,0.83,tillintetgörande,0.7,savoyens,0.656,autonomi,0.657,alliansfördrag,0.659
