,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,ministeri,0.712,alammainen,0.847,alammainen,0.933
1,greiwi,0.704,pääkonsuli,0.642,alamaiselle,0.785
2,kreiwi,0.689,michael,0.56,alamaisen,0.724
3,paroni,0.686,alamaisen,0.558,alammaisen,0.689
4,konsuli,0.679,kopio,0.555,pääkonsuli,0.673
5,oskar,0.666,lähettämä,0.535,kansalaisoikeus,0.664
6,kreimi,0.653,laatima,0.534,kansalaisoikeutta,0.656
7,asiamies,0.65,mikael,0.526,alam,0.644
8,norjan,0.636,greiwi,0.522,alamaiseksi,0.637
9,viktor,0.63,kieleksi,0.52,tielinen,0.637
10,konstantin,0.623,matkakertomus,0.519,sijaiskonsuli,0.637
11,pispa,0.621,senaatimme,0.518,alani,0.632
12,teri,0.615,tekemä,0.517,sijaistonsuli,0.632
13,kisälli,0.612,snellmanille,0.515,marakonsuli,0.631
14,tanskan,0.608,kielinen,0.514,ruotsin—,0.598
15,prinsi,0.607,konsulin,0.512,konsulille,0.576
16,talousseura,0.602,oldenburgin,0.511,sijaislonsuli,0.573
17,kielestä,0.601,asiamiehenä,0.509,varakonsuli,0.569
18,entinen,0.598,kiertokirje,0.508,waralonsuli,0.567
19,karl,0.593,alammaisen,0.507,maltioministeri,0.567
20,kaarle,0.592,allekirjoittama,0.502,pääkonsulin,0.565
21,kapteini,0.591,nuotsin,0.494,warakonsuli,0.561
22,wilhelm,0.589,kielestä,0.494,sijaiskonsulin,0.558
23,keisa,0.584,pyyntö-esityksestä,0.491,maralonsuli,0.558
24,berg,0.583,joseph,0.49,kielestä,0.553
25,fredrik,0.582,anomus,0.489,alamaiden,0.551
26,rohmessori,0.58,ruotsin,0.488,imanomitsch,0.549
27,tohtorin,0.58,kuninkaalta,0.488,elinkeino-oikeus,0.549
28,kustaa,0.578,paulin,0.488,pääkonsulilta,0.546
29,keisarille,0.574,friedrich,0.488,lonsulin,0.545
30,senatin,0.573,antama,0.486,passiwiraston,0.538
31,piispa,0.57,ritarille,0.485,lielestä,0.538
32,von,0.569,asettama,0.485,kiwipainaja,0.537
33,sakari,0.568,lausunto,0.485,päällysmics,0.536
34,pääkaupungissa,0.568,ministerille,0.483,lunink,0.536
35,erik,0.567,passi,0.483,lonsu,0.535
36,parooni,0.567,kamari-,0.482,ruotsin-norjan,0.532
37,pääkaupunkiin,0.567,suuriruhtinaalle,0.48,kenraalikonsuli,0.532
38,majori,0.566,talous-osaston,0.48,dmitrij,0.532
39,ritari,0.566,wahwistus,0.478,nemvos,0.532
40,aleksanderin,0.566,senaatissa,0.475,neuwoksen,0.53
41,bergin,0.565,kristianiassa,0.475,waltioministeri,0.53
42,esimieheksi,0.564,forsbergin,0.474,konsuliksi,0.53
43,maamittari,0.562,suuriruh,0.473,imanoff,0.529
44,luutnantti,0.561,tilastollisen,0.472,konsulilta,0.529
45,kuuluisa,0.56,kamariherra,0.472,kuningaskunnasta,0.529
46,aleksanteri,0.557,pyyntö-esitys,0.471,konsulin,0.528
47,gustaw,0.556,kaartissa,0.471,mitsch,0.528
48,amiraali,0.554,tiedeseuran,0.471,suuriruhtinaana,0.525
49,senaatissa,0.554,nuotsiu,0.469,alamaisille,0.524
50,pyynnöstä,0.553,herttuatar,0.469,neumoksen,0.524
51,hallitukselta,0.55,tielen,0.467,sotilasasiamies,0.523
52,blom,0.548,ehdotuksesta,0.467,tielestä,0.523
53,otto,0.547,prinsi,0.467,firmasta,0.522
54,august,0.547,suuriruhtinan,0.466,ignati,0.521
55,kuninkaalle,0.546,wig,0.465,kansalaisoikeuden,0.521
56,ström,0.545,talousosastossa,0.464,ostrom,0.521
57,kapten,0.545,hypoteeki-yhdistyksen,0.463,semenoff,0.52
58,kuningas,0.544,anomukselle,0.463,neulvos,0.52
59,hoitaja,0.543,pyynnöstä,0.461,miinuri,0.519
60,kaarlo,0.543,alamaista,0.461,andrej,0.516
61,muutettu,0.543,määräämälle,0.461,alamaisin,0.515
62,päällysmies,0.542,entinen,0.459,alain,0.515
63,asettanut,0.542,tehtailijan,0.459,pamel,0.514
64,niminen,0.541,lielellä,0.458,tunink,0.514
65,mainio,0.539,kunink,0.458,feodoroff,0.513
66,lord,0.535,talous-osasto,0.457,alamaisiksi,0.512
67,hoitajaksi,0.533,agrikola,0.456,komisa,0.511
68,jäseneksi,0.532,suuriruhtinaan,0.456,kielenkääntäjä,0.511
69,päällikkö,0.532,patenttia,0.455,tiedeakatemialle,0.51
70,professori,0.53,asetukseksi,0.454,pauloff,0.51
71,josef,0.529,tilastollinen,0.454,alamaisena,0.509
72,danskan,0.528,alamaiseksi,0.454,reitz,0.508
73,esimiehenä,0.526,ehdoitulsesta,0.454,bernadotte,0.508
74,liittokunnan,0.525,tarkkampuja,0.454,tislaaja,0.507
75,howi,0.525,kuninkaalle,0.454,alamain,0.507
76,preussin,0.524,suuriruhtiuas,0.453,nuolsin,0.505
77,lund,0.523,ohjesääntöön,0.452,kuninl,0.504
78,jaetun,0.522,alam,0.452,grot,0.503
79,emil,0.522,hallitsijalle,0.45,sotaministeriltä,0.503
80,nor,0.521,promisori,0.45,petrowitsch,0.502
81,herttua,0.521,terille,0.45,kontrollööri,0.502
82,lindberg,0.521,kielioppi,0.449,vasili,0.502
83,majesteetinsä,0.521,sander,0.449,konsulina,0.499
84,pataljonan,0.52,konstantin,0.448,hymälsymä,0.499
85,päällys,0.52,pyyntö,0.447,neumos,0.499
86,waltakunnan,0.519,rnotsin,0.447,nitari,0.499
87,raali,0.519,alamaisesti,0.447,alamaiset,0.499
88,gabriel,0.517,ehtoosaarnat,0.446,pääkon,0.499
89,pankki,0.516,arkkitehti,0.446,hornille,0.498
90,käskystä,0.516,metalji,0.445,ministeri-,0.497
91,pietarissa,0.516,silloinen,0.445,paulille,0.495
92,lind,0.514,cnt,0.445,ruolfin,0.494
93,toht,0.512,kieli-oppi,0.444,maltiosihteeri,0.494
94,edward,0.509,senaatista,0.444,sijais,0.493
95,isoruhtinas,0.507,berg'ille,0.443,lähettiläältä,0.493
96,öwersti,0.505,adolph,0.443,kielisestä,0.493
97,john,0.504,salsan,0.443,nasili,0.492
98,arm,0.504,professorille,0.443,kauppa-asioitsija,0.492
99,aleksander,0.504,brahen,0.443,ruoisin,0.492
