,fi_1880,fi_1880_d
0,kansallisuus,0.876
1,silvistys,0.821
2,kulturi,0.815
3,simistys,0.798
4,siwistys,0.797
5,simislys,0.788
6,siivistys,0.785
7,fimistys,0.78
8,siwislys,0.771
9,kansallistunto,0.771
10,vapaamielisyys,0.756
11,kansallisuusaate,0.753
12,siwistyksemme,0.752
13,kirjallisuus,0.748
14,kulttuurin,0.744
15,fiwistys,0.74
16,intelligenssi,0.738
17,kansallishenki,0.737
18,simistyksemme,0.736
19,kansallistunne,0.733
20,näytelmätaide,0.73
21,sivistys,0.721
22,runous,0.719
23,lirjallisuus,0.718
24,realismi,0.715
25,itsetajunta,0.714
26,sanomalehdistömme,0.712
27,kristinusko,0.708
28,isänmaallisuus,0.705
29,katsantotapa,0.705
30,antiikin,0.704
31,kansanaines,0.703
32,länsimaisen,0.703
33,kultuurin,0.701
34,katsantokanta,0.7
35,kansakunta,0.695
36,aines,0.694
37,nihilismi,0.693
38,mapaamielisyys,0.69
39,simistystyö,0.686
40,kielitiede,0.685
41,aate,0.685
42,uskonto,0.685
43,intelli,0.684
44,raittiusliike,0.683
45,kehitys,0.681
46,juutalaisuus,0.679
47,sanomakirjallisuus,0.678
48,ylimalta,0.677
49,tieteellisyys,0.677
50,kaunokirjallisuus,0.674
51,sosialismi,0.674
52,työmäenliike,0.674
53,muukalaisuus,0.673
54,länsimainen,0.672
55,realismin,0.671
56,runouden,0.67
57,kansallinen,0.67
58,herruus,0.666
59,kielitaistelu,0.665
60,simistylsessä,0.664
61,ylimystö,0.664
62,uskonnollisuus,0.663
63,äidinkielemme,0.661
64,mirtaus,0.661
65,elinmoima,0.659
66,ihmissuku,0.658
67,pessimismi,0.658
68,kristillisyys,0.657
69,kansankieli,0.657
70,silvistyksen,0.655
71,sitkeys,0.655
72,runoudessa,0.654
73,siwistystyö,0.653
74,edustuslaitos,0.653
75,ahdasmielisyys,0.651
76,kieli,0.651
77,kehityksemme,0.65
78,kulturin,0.649
79,kansallishengen,0.649
80,kansallisuuden,0.648
81,kirjakieli,0.647
82,taloustiede,0.645
83,edislys,0.644
84,materialismi,0.643
85,monarkia,0.643
86,pakanuus,0.643
87,kielemme,0.642
88,simislyksen,0.642
89,inhimillisyys,0.642
90,wirtaus,0.642
91,mahtamuus,0.641
92,ustonto,0.641
93,uslonto,0.64
94,yliwalta,0.64
95,itsetietoisuus,0.64
96,edistys,0.639
97,vapaamielisyyden,0.639
98,sosialismin,0.638
99,länsimaitten,0.638
