,fi_1880,fi_1880_d
0,libera,0.644
1,materia,0.634
2,persoona,0.611
3,runol,0.604
4,inhimil,0.601
5,idealismi,0.6
6,ihol,0.593
7,aatteel,0.585
8,realismi,0.584
9,uslonnol,0.582
10,wapaamie,0.581
11,mapaamie,0.58
12,lristil,0.579
13,liberaa,0.578
14,vapaamielisyyden,0.573
15,ihanteel,0.571
16,luonnollisuus,0.57
17,vapaamie,0.568
18,vapaamielisyys,0.567
19,sosiaa,0.565
20,isänmaat,0.565
21,ihanteellinen,0.562
22,kapita,0.562
23,sosialismin,0.561
24,lyyrillinen,0.557
25,uskonnol,0.556
26,tunteel,0.556
27,intohimoinen,0.554
28,realisti,0.551
29,yhteiskunnat,0.551
30,voimal,0.55
31,politi,0.549
32,runoudessa,0.549
33,intohimo,0.547
34,vastakohta,0.546
35,idealisti,0.545
36,ahdasmie,0.544
37,siveel,0.544
38,radikaa,0.544
39,ihanteellisen,0.542
40,sielunelämän,0.539
41,taivaal,0.539
42,pakanal,0.538
43,ijanlail,0.537
44,taiteessa,0.535
45,synnynnäinen,0.534
46,protestanttisuus,0.533
47,naisellinen,0.533
48,realismin,0.532
49,protestanttisuuden,0.532
50,itselläisyyden,0.531
51,personal,0.53
52,simcel,0.53
53,simecl,0.53
54,nero,0.529
55,olemuksen,0.527
56,jumalal,0.527
57,raamatul,0.527
58,isänmaal,0.526
59,yhteiskunnal,0.523
60,epärehel,0.522
61,miehuul,0.522
62,mielikuwituksen,0.521
63,persoonallisuus,0.521
64,pessimismi,0.521
65,kansanmal,0.52
66,aistillinen,0.518
67,ihanteen,0.518
68,taiteel,0.517
69,vanhoil,0.517
70,kulttuuri,0.516
71,perustuslail,0.516
72,isänmaallisuus,0.516
73,valtiol,0.516
74,ristiriita,0.516
75,moraa,0.516
76,nihi,0.515
77,neron,0.515
78,runouden,0.515
79,katsantotapansa,0.514
80,monar,0.514
81,siweel,0.513
82,realistinen,0.513
83,yksipuo,0.513
84,pessimismin,0.513
85,kansal-,0.513
86,ihanteellisuuden,0.512
87,maltil,0.512
88,maltiol,0.512
89,uskonnot,0.511
90,epäsimeel,0.511
91,simeel,0.51
92,lihal,0.509
93,kapitalismin,0.509
94,autuaal,0.509
95,siveellinen,0.509
96,kristil,0.509
97,ajattelija,0.508
98,pelkuruus,0.507
99,sopusuhtainen,0.507
