,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,turkin,0.852,kapina,0.684,sotajoukko,0.778,merisota,0.81
1,sodan,0.824,sotajoukko,0.681,armeija,0.762,armeija,0.787
2,puolan,0.783,liitto,0.667,kapina,0.749,sota^,0.775
3,nykyisin,0.762,englantilaisten,0.661,sotawäki,0.72,soia,0.757
4,suomessa,0.745,sotamäkeä,0.649,sotamäki,0.718,sotajoukko,0.755
5,maassa,0.736,italiassa,0.642,sotawäti,0.707,sotamäli,0.746
6,rannalla,0.735,sotaan,0.638,sotamäti,0.705,armeijan,0.725
7,ulkomaan,0.732,laimasto,0.634,laimasto,0.697,kapina,0.716
8,maltakunnan,0.73,pasja,0.632,tasamaita,0.691,sota-,0.714
9,waltakunnan,0.729,laiwasto,0.632,piiritys,0.684,sotamäti,0.712
10,saksan,0.722,sotaa,0.623,taistelu,0.679,armeja,0.708
11,maalta,0.718,wienissä,0.619,garibaldin,0.672,armejan,0.706
12,turkkilaisten,0.712,neapelin,0.615,armeijan,0.672,sotamäki,0.705
13,egyptin,0.711,sotamäki,0.615,sotawäli,0.67,lailvaston,0.694
14,sanotaan,0.711,italiasta,0.614,laiwasto,0.669,armejassa,0.691
15,tulleen,0.695,turkin,0.613,rauhattomuus,0.664,sotawoima,0.69
16,kuuluu,0.676,englannin,0.612,gari,0.662,ratsuwäki,0.69
17,alussa,0.67,amiraali,0.609,armeja,0.661,abessinialaisten,0.686
18,frankriikin,0.67,italia,0.608,ottelu,0.66,tonlinissa,0.685
19,kansan,0.669,riita,0.605,garibaldi,0.659,egypti,0.685
20,euroopan,0.664,liittolaisten,0.601,tasawalta,0.658,tapina,0.685
21,etelä,0.662,itämallan,0.599,ranskalaisten,0.657,ratsumäli,0.683
22,näinä,0.649,sotawäki,0.598,liittolaisten,0.657,lapina,0.683
23,menäjän,0.642,sotawäkeä,0.597,vihollinen,0.657,sotaretki,0.681
24,kaupungista,0.64,krimiin,0.595,tsulujen,0.656,santarmisto,0.677
