,fi_1880,fi_1880_d
0,hallitusaikana,0.749
1,hallitessa,0.747
2,hallituskausi,0.73
3,ruhtinaskunta,0.671
4,politiikki,0.656
5,hallitusistuimelle,0.653
6,napoleon,0.63
7,hallitusajan,0.628
8,vallankumous,0.628
9,hallitsija,0.62
10,mallankumous,0.616
11,politili,0.614
12,keisarikunta,0.608
13,tukistus,0.608
14,polititi,0.606
15,ruhtinas,0.606
16,walta-istuimelle,0.604
17,hallitsia,0.604
18,tcisari,0.603
19,kukistuttua,0.601
20,valtaistuimella,0.6
21,malta-istuimelle,0.598
22,maltaistuimelle,0.598
23,ulkopolitiikka,0.598
24,politiki,0.597
25,hallitsijatar,0.596
26,wallankumous,0.592
27,rnhtinas,0.59
28,politiikka,0.588
29,ajanjakso,0.587
30,kukistuminen,0.586
31,hallitsijapari,0.585
32,hallitsijana,0.584
33,keisarina,0.584
34,valtaistuimelle,0.583
35,yhtymys,0.583
36,kruununperillinen,0.582
37,keisari,0.582
38,ruhlinas,0.58
39,kisan,0.58
40,ruhtinaana,0.577
41,kuningaskunta,0.577
42,mierailu,0.576
43,ystämyys,0.574
44,elämänlanka,0.573
45,lcisari,0.57
46,valloittaja,0.57
47,maltakunta,0.568
48,diplomatiia,0.568
49,istuntokausi,0.567
50,saksanmaa,0.567
51,waltiomuoto,0.565
52,kuningas,0.564
53,vihollisuus,0.564
54,ruhtiuas,0.562
55,waltakunta,0.562
56,vuosisata,0.56
57,alfonso,0.56
58,muosisata,0.559
59,aismarck,0.558
60,waltaistuimelle,0.557
61,jälkeläinen,0.556
62,keijari,0.556
63,hamid,0.556
64,sotasankari,0.555
65,keisarimme,0.555
66,teisari,0.555
67,pääministerinä,0.554
68,prinssinä,0.554
69,tirnomassa,0.553
70,muosipäimä,0.551
71,taistelu,0.551
72,vapauttaja,0.551
73,aikakausi,0.55
74,keisan,0.55
75,hallitsin,0.549
76,wuosisata,0.548
77,bismarck,0.547
78,käännekohta,0.544
79,blsmarck,0.544
80,knningas,0.543
81,unkarilla,0.543
82,valtakunta,0.542
83,wuosipäiwä,0.542
84,politiiki,0.542
85,sotapäällikkö,0.54
86,wallanlumous,0.539
87,ministeristo,0.539
88,lunirgas,0.539
89,hallitsijasuku,0.538
90,hallitsijasumun,0.538
91,moltke,0.538
92,mahtamuus,0.537
93,valtiokansleri,0.537
94,aleksanteri,0.536
95,elämäntyö,0.535
96,bismarckilla,0.534
97,miehitys,0.534
98,elinaika,0.533
99,tasamaita,0.533
