,fi_1880,fi_1880_d
0,valistus,0.813
1,hyvinvointi,0.779
2,fiwistys,0.775
3,sivistyksen,0.774
4,siveellisyys,0.77
5,silvistys,0.759
6,siwislys,0.756
7,fimistys,0.754
8,simislys,0.753
9,siivistys,0.752
10,siveys,0.743
11,siveellinen,0.743
12,siwistys,0.731
13,simistys,0.73
14,kulttuuri,0.721
15,vapaamielisyys,0.718
16,varallisuus,0.714
17,lehitys,0.708
18,alistus,0.702
19,vakaumus,0.698
20,kehitys,0.696
21,itsetietoisuus,0.691
22,sivistystä,0.691
23,isänmaanrallaus,0.683
24,vireys,0.681
25,edistys,0.68
26,säästäväisyys,0.679
27,kypsyys,0.677
28,kansallisuus,0.671
29,kansallistunto,0.67
30,viisaus,0.67
31,uslonto,0.668
32,itsetunto,0.666
33,itsetajunta,0.666
34,vailutus,0.662
35,tietoisuus,0.66
36,työväenliike,0.659
37,voima,0.659
38,tulevaisuus,0.657
39,sivistyksessä,0.656
40,kasvatus,0.654
41,hyve,0.65
42,isänmaallisuus,0.647
43,taloustiede,0.645
44,sivistyneiden,0.644
45,valistustyö,0.644
46,siveellisen,0.643
47,ystävyys,0.641
48,elinmoima,0.641
49,vakavuus,0.638
50,katsantokanta,0.637
51,virtaus,0.637
52,uskonnollisuus,0.637
53,vaikutus,0.636
54,tajunta,0.636
55,välinpitämättömyys,0.635
56,varttuu,0.633
57,walistus,0.633
58,henkisyys,0.632
59,ailutus,0.631
60,turva,0.63
61,pyrkimys,0.63
62,harrastus,0.63
63,yhteishenki,0.628
64,uskonto,0.628
65,malistus,0.627
66,nuorisoseuraliike,0.627
67,lirjallisuus,0.626
68,hywinwointi,0.624
69,lehilys,0.623
70,kansallishenki,0.622
71,simistystyö,0.622
72,välttämättömyys,0.622
73,siveyden,0.621
74,kansallistunne,0.621
75,rappeutuminen,0.621
76,häviö,0.62
77,intelligenssi,0.62
78,tiedollinen,0.62
79,kirjallisuus,0.619
80,valppaus,0.619
81,tehitys,0.619
82,elpyminen,0.618
83,sukupolvi,0.618
84,vapaus,0.616
85,ihmisyys,0.616
86,tieteellisyys,0.614
87,velttous,0.613
88,toimintakyky,0.612
89,kristillisyys,0.611
90,siveelliset,0.611
91,siveellistä,0.61
92,tiedonhalu,0.608
93,turvallisuus,0.608
94,syvien,0.608
95,valistuksen,0.607
96,siwistystyö,0.606
97,lansallinen,0.606
98,elinwoima,0.606
99,rillaus,0.606
