,fi_1820,fi_1820_d,fi_1840,fi_1840_d,fi_1860,fi_1860_d,fi_1880,fi_1880_d
0,majestetinsä,0.909,kejs,0.872,kcis,0.798,keisarilliuen,0.861
1,armossa,0.907,majesteettinsa,0.868,kcisarillincn,0.796,keisarilline,0.851
2,määrännyt,0.845,majesteetinsä,0.857,keis,0.769,kellarillinen,0.822
3,keisarillisen,0.802,majes,0.826,leis,0.758,kcis,0.769
4,majesteetinsä,0.788,majest,0.804,kellarillinen,0.738,sseis,0.754
5,majest,0.773,arm,0.782,kcisa,0.727,keis,0.739
6,kaupunkissa,0.704,kcis,0.769,rillinen,0.717,leisarillinen,0.738
7,määrätty,0.698,keis,0.765,tcis,0.708,keij,0.722
8,kuussa,0.696,armollisesti,0.758,keisarillisessa,0.708,keisarill,0.713
9,heinäkuussa,0.672,keisarillisen,0.731,teis,0.704,keif,0.711
10,helsingin,0.671,senaatti,0.723,feif,0.702,lcis,0.709
11,kesäkuussa,0.664,armossa,0.715,leisarillinen,0.692,kels,0.707
12,tammikuussa,0.659,tinsa,0.703,keisarill,0.687,teisarillinen,0.707
13,koulussa,0.649,majesteetti,0.692,keif,0.684,teif,0.703
14,joulukuussa,0.648,armol,0.685,lcis,0.678,tcis,0.701
15,samassa,0.641,nimittänyt,0.678,sarillinen,0.661,leis,0.695
16,elokuussa,0.64,armollisen,0.673,keisarillisen,0.65,armollinen,0.691
17,keisari,0.637,säätänyt,0.662,kels,0.638,äeif,0.689
18,kirkkoherraksi,0.625,senatin,0.657,kuuink,0.636,keii,0.673
19,syyskuussa,0.613,keisa,0.656,keisa-,0.635,sarillinen,0.666
20,keisarin,0.608,majestetinsä,0.655,armollinen,0.634,armollisella,0.653
21,hiippakunnan,0.602,julistuksessa,0.651,kei-,0.632,rillinen,0.64
22,opettajan,0.597,armoll,0.642,kejs,0.626,kejs,0.639
23,opettaja,0.597,armollinen,0.64,keisar,0.62,fonfursfifääntö,0.626
24,käskyn,0.596,esityksestä,0.631,keisarilliselta,0.616,keil,0.624
25,marraskuussa,0.594,siaansa,0.628,kci,0.587,feif,0.62
26,kouluun,0.589,maj.,0.627,kuninkaallinen,0.587,lonkurssisääntö,0.606
27,kirkko,0.587,majesteetin,0.62,armollisella,0.576,salillinen,0.602
28,koulun,0.585,asettanut,0.615,keisarilliselle,0.574,käskykirjeellä,0.6
29,seurakunnan,0.583,käsketty,0.61,armollisimmasti,0.571,lonturssisääntö,0.598
30,lokakuussa,0.581,mossa,0.609,kunink,0.569,keisarillisessa,0.595
31,määrättiin,0.579,armollisessa,0.606,kunint,0.566,tonlurssisääntö,0.595
32,maaliskuussa,0.579,käskenyt,0.598,alamaisesta,0.565,senaali,0.592
33,ison,0.579,määrännyt,0.598,keisarilli,0.562,armoll,0.591
34,samaan,0.571,korkeus,0.597,kcisarilli,0.559,keisarillisen,0.587
35,rin,0.57,aleksanderin,0.597,armossa,0.558,scnatille,0.583
36,antanut,0.569,julistus,0.596,kuninl,0.557,armollisessa,0.582
37,pantu,0.566,kutsunut,0.593,keisaril,0.543,konkurssisäännössä,0.579
38,kertomus,0.565,korkeassa,0.587,salillinen,0.539,mahmistannt,0.577
39,turuun,0.563,asetettu,0.586,homioileus,0.538,lonlurssisäänlö,0.577
40,adolf,0.561,armollisesta,0.585,ilihallitus,0.538,keisarillisella,0.573
41,kenraali,0.559,konstantin,0.58,määrännet,0.528,lonlurssiasetus,0.571
42,helmikuussa,0.559,armollista,0.578,anneltu,0.527,suuriruhtinaan,0.569
43,puolesta,0.559,wirasta,0.567,jesteetinsa,0.526,keisarilliseu,0.567
44,abraham,0.553,korkean,0.561,homioiteus,0.523,scnaalin,0.565
45,läänin,0.552,asetuksessa,0.561,lonlurssisääntö,0.522,majestet,0.563
46,kaupungissa,0.55,puolisonsa,0.556,armollisessa,0.52,lunink,0.561
47,uuden,0.548,armolli,0.548,mahmistanut,0.52,lleis,0.561
48,entisen,0.547,katsonut,0.547,armollisesti,0.519,fetf,0.56
49,huhtikuussa,0.546,asetetun,0.547,homioikcus,0.519,mahmistauut,0.559
50,päämies,0.542,julis,0.542,majesteetinsa,0.519,majcstcti,0.553
51,kaupungista,0.542,greiwi,0.54,kumut,0.517,lurssisääntö,0.552
52,menneen,0.534,julistuksen,0.539,eis,0.515,listuksella,0.55
53,1826,0.534,julistanut,0.536,keisa,0.515,kenraalilumernööri,0.548
54,kaupunki,0.531,k-,0.535,ylihallitus,0.514,keisar,0.548
55,tuomarin,0.519,suonut,0.533,fenaati,0.511,keisarillise,0.548
56,maalille,0.513,ilmoittanut,0.531,myönnyttänyt,0.51,ieis,0.547
57,apulaisen,0.512,annetun,0.531,kirjeellä,0.51,senaaiin,0.547
58,lin,0.509,mirasta,0.531,talous-osasto,0.51,armollisesti,0.547
59,ritari,0.508,käskystä,0.53,wirka-ilmotuksia,0.51,tenaatin,0.546
60,kon,0.508,säätty,0.53,majesteetinsä,0.508,konkurssiasetus,0.545
61,ensimmäinen,0.507,suomeen,0.528,säätänyt,0.508,fenatt,0.544
