,fi_1880,fi_1880_d
0,vapaamielisyys,0.75
1,ristiriita,0.725
2,uskonnollisuus,0.719
3,kunniantunto,0.718
4,siweelli,0.717
5,luonnonlaki,0.717
6,käsityskanta,0.711
7,katsantotapa,0.706
8,simeelli,0.706
9,katsantokanta,0.704
10,ahdasmielisyys,0.699
11,kritiikki,0.693
12,suwaitsewaisuus,0.693
13,oikeudentunto,0.693
14,oileudentunto,0.69
15,ideaali,0.689
16,simeellisyys,0.689
17,malhe,0.688
18,jumalisuus,0.687
19,uskottomuus,0.686
20,inhimilli,0.683
21,taantumi,0.682
22,sumaitsemaisuus,0.682
23,hyme,0.679
24,yksipuoli,0.677
25,mapaamielisyys,0.675
26,uskonnolli,0.674
27,maltillisuus,0.672
28,tristilli,0.672
29,pintapuolisuus,0.67
30,isänmaallisuus,0.669
31,auktoriteetti,0.666
32,ihmiselli,0.663
33,ennakkoluulo,0.663
34,ihmisarmo,0.662
35,itsepäisyys,0.661
36,siveelli,0.661
37,taistelutapa,0.66
38,ahdasmieli,0.657
39,pessimismi,0.657
40,simcelli,0.656
41,sisälli,0.656
42,teeskentely,0.656
43,säädyllisyys,0.655
44,kansalli,0.655
45,lristilli,0.653
46,valhe,0.651
47,yksipuolisuus,0.651
48,näkökanta,0.65
49,tunnustami,0.649
50,peri-aate,0.647
51,inhimillisyys,0.646
52,luontai,0.645
53,muodolli,0.645
54,röyhkeys,0.644
55,täsitys,0.644
56,realisti,0.641
57,periaate,0.64
58,eheys,0.64
59,typeryys,0.639
60,johdonmukai,0.639
61,maltiolli,0.638
62,lahkolai,0.638
63,kristillisyys,0.637
64,yhdenmertaisuus,0.637
65,yhteiskunnalli,0.637
66,hywe,0.636
67,käsitys,0.636
68,jumalalli,0.635
69,ristiriitaisuus,0.635
70,harhaluulo,0.635
71,walhe,0.633
72,ulkonai,0.633
73,totuus,0.633
74,itsepintaisuus,0.633
75,intelligenssi,0.632
76,kansanmaltai,0.632
77,kerskaus,0.631
78,realismi,0.631
79,todelli,0.631
80,sumaitsemai,0.631
81,manhoilli,0.631
82,liberaali,0.631
83,suwaitsewai,0.63
84,elinwoima,0.63
85,käsitystapa,0.63
86,kypsyys,0.629
87,tasapuolisuus,0.629
88,tyhmyys,0.629
89,läsilys,0.629
90,kristilli,0.628
91,mälinpitämättömyys,0.627
92,nihilismi,0.626
93,saamattomuus,0.626
94,itserakkaus,0.626
95,silvistys,0.626
96,turhamaisuus,0.625
97,ajatustapa,0.625
98,fiwistys,0.625
99,makaumus,0.625
