,agitatsiooni,aiheuttaa,aika,aikakausi,aikaväli,ajanjakso,ajankohta,akatemia,alamainen,alku,alue,arkisto,artikkeli,artikla,asema,asukas,avustaa,bonapartism,demokratia,dynastia,edistynyt,eduskunta,edustajisto,edustus,eheys,entinen,erilainen,erkaantua,erottaa,esittää,etu,eurooppa,eurooppalainen,hallinnallinen,hallinto,hallintojärjestelmä,hallitsija,hallitus,hallitusaika,hallitusmuoto,herttua,herttuakunta,hetki,historia,historiallinen,historiankirjoittaja,historiankirjoitus,historioitsija,hyöty,idea,ihminen,ihmis,inhimillinen,intellektuelli,intressi,irrottaa,irtautua,isänmaa,itsellisyys,itsemääräys,jakaa,jakautua,johtaja,julkaista,julkinen,järjestelmä,jäsen,kannattaa,kansa,kansakunta,kansalainen,kansallinen,kansanedustus,karjala,karjalainen,kartta,kausi,kehittynyt,keisari,keisarikunta,keisarilinen,kenraali,keskiaika,keskitetty,kieli,kirjoitus,kolkka,komento,kommunism,konservatism,kotimaa,kotimainen,koulu,kruunu,kulmakunta,kulttuuri,kuningas,kuningaskunta,kuninkaallinen,kunta,kysymys,käsitellä,käsitys,laki,lausunto,lehti,liberaali,liberalismi,liittää,loukkaamattomuus,luku,luoda,luonne,luonto,luovutettu,luovuttaa,lääni,maa-alue,maakunta,maantieteellinen,mahti,markka,mielenilmaus,mielikuva,ministeristö,mobilisaatio,monarkki,moraali,muodollinen,muodostaa,muodostua,muotoutua,myytti,määräys,napoleon,neuvotella,nyky-,oikeus,oppilaitos,osallistua,osavaltio,paikallinen,paikallis-,painattaa,parlamentti,patriotism,periaate,periodi,perustaa,perustuslaki,pietari,pohjoismaa,politiikka,provinssi,puhe,puolustaa,pykälä,päätös,raha,rahoittaa,raja,rajaseutu,ratkaisu,rauha,republikanism,res publica,retoriikka,riidanalainen,riitainen,riski,ruhtinaskunta,ruotsalainen,ruotsi,sanomalehti,senaatti,separatismi,seutu,sisä,sisäinen,sivistys,skandinavia,sopimus,sosiaalinen,sota,status,suojella,suomalainen,suomenmaa,suomi,suuriruhtinaanmaa,suuriruhtinaskunta,suurvalta,suvereeni,synty,sääntö,sääty,talous,tasa-arvo,terrorism,tiede,toimivalta,traktaatti,tsaari,tukea,uhka,uskomus,vaara,vaihe,vaihtaa,vaihtoehto,vaino,vallanpitäjä,valta,valtakunta,valtias,valtio,valtiomuoto,valtionjohto,valtiopäivät,valtiosääty,valtioviisaus,valuutta,vandalism,vanha,varhainen,varhais,vastalause,venäjä,venäläinen,vertailu,virallinen,virkamies,voima,vuosisata,yhdistyä,yhdistää,yhteiskunnallinen,yhteiskunta,yhteistoiminta,yhteistyö,yhteisö,yhteys,yksimielisyys,yleinen,yleis-,yliopisto,itsenäinen,valtiosääntö,älykkö,älyllinen,year
1820,0.0,0.0,25.767882910740052,0.0,0.0,0.0,0.0,0.0,0.0,2.5767882910740054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2883941455370027,0.0,0.0,0.0,0.0,0.0,3.865182436611008,0.0,0.0,1.2883941455370027,0.0,18.037518037518037,0.0,0.0,0.0,0.0,0.0,0.0,2.5767882910740054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5767882910740054,0.0,7.730364873222016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,487.012987012987,0.0,0.0,0.0,1.2883941455370027,0.0,0.0,2.5767882910740054,46.3821892393321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2883941455370027,0.0,0.0,19.325912183055042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.865182436611008,0.0,0.0,0.0,2.5767882910740054,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2883941455370027,0.0,0.0,5.153576582148011,0.0,0.0,0.0,0.0,3.865182436611008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2883941455370027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5767882910740054,0.0,0.0,0.0,7.730364873222016,0.0,5.153576582148011,0.0,0.0,11.595547309833025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5767882910740054,0.0,0.0,0.0,0.0,0.0,50.2473716759431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5767882910740054,0.0,2.5767882910740054,18.037518037518037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2883941455370027,0.0,2.5767882910740054,0.0,1.2883941455370027,0.0,1.2883941455370027,0.0,11.595547309833025,5.153576582148011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.22861265718409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2883941455370027,20.614306328592043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1820
1821,0.0,0.0,16.403975229997403,0.0,0.0,0.0,0.0,0.0,0.0,8.201987614998702,0.0,0.0,0.0,0.0,0.0,1.3669979358331168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.201987614998702,0.0,0.0,0.0,0.0,8.201987614998702,0.0,0.0,0.0,0.0,0.0,0.0,6.834989679165584,0.0,0.0,0.0,0.0,0.0,2.7339958716662336,0.0,0.0,0.0,0.0,1.3669979358331168,0.0,24.605962844996103,2.7339958716662336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464.77929818325975,0.0,0.0,0.0,2.7339958716662336,0.0,2.7339958716662336,0.0,46.477929818325975,0.0,0.0,0.0,0.0,0.0,0.0,4.100993807499351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.201987614998702,0.0,0.0,0.0,0.0,0.0,1.3669979358331168,0.0,10.935983486664934,6.834989679165584,0.0,0.0,0.0,0.0,0.0,1.3669979358331168,2.7339958716662336,0.0,1.3669979358331168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.669979358331169,0.0,0.0,8.201987614998702,0.0,0.0,0.0,0.0,1.3669979358331168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3669979358331168,1.3669979358331168,0.0,0.0,0.0,0.0,4.100993807499351,0.0,0.0,0.0,2.7339958716662336,0.0,1.3669979358331168,0.0,0.0,5.467991743332467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.74393394665974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7339958716662336,2.7339958716662336,16.403975229997403,46.477929818325975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3669979358331168,0.0,2.7339958716662336,0.0,0.0,0.0,4.100993807499351,0.0,13.669979358331169,12.302981422498052,1.3669979358331168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.440952524161688,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.568985550831819,1.3669979358331168,2.7339958716662336,0.0,0.0,0.0,0.0,0.0,0.0,1.3669979358331168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1821
1822,0.0,0.0,20.007145409074667,0.0,0.0,0.0,0.0,0.0,0.0,1.429081814933905,0.0,0.0,0.0,0.0,0.0,2.85816362986781,1.429081814933905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.719899964272953,1.429081814933905,0.0,0.0,0.0,7.145409074669525,0.0,0.0,0.0,0.0,0.0,0.0,15.719899964272953,0.0,0.0,0.0,0.0,1.429081814933905,2.85816362986781,0.0,0.0,0.0,0.0,0.0,0.0,7.145409074669525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.0117899249732,0.0,0.0,0.0,2.85816362986781,0.0,1.429081814933905,0.0,22.86530903894248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.861736334405144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.43265451947124,11.43265451947124,0.0,0.0,8.57449088960343,0.0,0.0,0.0,0.0,0.0,0.0,2.85816362986781,0.0,1.429081814933905,0.0,0.0,0.0,0.0,12.861736334405144,0.0,0.0,4.287245444801715,0.0,1.429081814933905,0.0,0.0,1.429081814933905,0.0,1.429081814933905,1.429081814933905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.429081814933905,0.0,0.0,0.0,0.0,0.0,4.287245444801715,0.0,0.0,0.0,22.86530903894248,1.429081814933905,1.429081814933905,0.0,0.0,1.429081814933905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85816362986781,0.0,0.0,0.0,0.0,0.0,34.29796355841372,0.0,0.0,1.429081814933905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.429081814933905,4.287245444801715,12.861736334405144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.429081814933905,0.0,5.71632725973562,0.0,1.429081814933905,0.0,5.71632725973562,7.145409074669525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.86530903894248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.429081814933905,7.145409074669525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1822
1823,0.0,0.0,25.463707515814306,0.0,0.0,0.0,0.0,0.0,0.0,5.360780529645116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.381365926878953,0.0,0.0,1.340195132411279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.340195132411279,0.0,0.0,0.0,0.0,4.0205853972338375,0.0,0.0,0.0,0.0,0.0,4.0205853972338375,0.0,17.422536721346628,1.340195132411279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,443.60458882813333,0.0,0.0,0.0,4.0205853972338375,0.0,6.700975662056395,0.0,69.69014688538651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0205853972338375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0205853972338375,0.0,0.0,0.0,2.680390264822558,0.0,0.0,0.0,1.340195132411279,0.0,0.0,0.0,0.0,1.340195132411279,0.0,0.0,0.0,0.0,16.08234158893535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.340195132411279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.340195132411279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.340195132411279,0.0,0.0,0.0,4.0205853972338375,0.0,2.680390264822558,0.0,0.0,1.340195132411279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.340195132411279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.680390264822558,0.0,1.340195132411279,5.360780529645116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.340195132411279,0.0,0.0,0.0,0.0,0.0,5.360780529645116,1.340195132411279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.08234158893535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.340195132411279,9.381365926878953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1823
1824,0.0,0.0,32.08942252410049,0.0,0.0,0.0,0.0,0.0,0.0,2.674118543675041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.674118543675041,0.0,1.3370592718375205,0.0,0.0,1.3370592718375205,0.0,0.0,0.0,0.0,0.0,0.0,6.6852963591876025,0.0,0.0,0.0,0.0,2.674118543675041,1.3370592718375205,0.0,0.0,0.0,0.0,0.0,0.0,36.10060033961305,1.3370592718375205,0.0,0.0,2.674118543675041,0.0,0.0,0.0,0.0,0.0,537.4978272786833,0.0,0.0,0.0,4.0111778155125615,0.0,1.3370592718375205,1.3370592718375205,32.08942252410049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3370592718375205,0.0,0.0,0.0,0.0,0.0,2.674118543675041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3370592718375205,0.0,0.0,0.0,18.718829805725285,0.0,0.0,1.3370592718375205,6.6852963591876025,0.0,0.0,2.674118543675041,0.0,2.674118543675041,0.0,0.0,0.0,0.0,5.348237087350082,1.3370592718375205,0.0,4.0111778155125615,0.0,0.0,0.0,0.0,1.3370592718375205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.674118543675041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0111778155125615,0.0,0.0,0.0,0.0,0.0,1.3370592718375205,0.0,0.0,0.0,2.674118543675041,0.0,1.3370592718375205,0.0,0.0,4.0111778155125615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3370592718375205,0.0,0.0,6.6852963591876025,0.0,0.0,0.0,0.0,0.0,13.370592718375205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3370592718375205,4.0111778155125615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.674118543675041,0.0,0.0,0.0,0.0,0.0,9.359414902862643,6.6852963591876025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.381770533887767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.696474174700164,0.0,4.0111778155125615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1824
1825,0.0,0.0,26.37401280604844,0.0,0.0,0.0,0.0,0.0,0.0,8.791337602016148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.395668801008074,0.0,0.0,0.0,0.0,1.4652229336693579,0.0,0.0,0.0,0.0,0.0,0.0,5.860891734677431,0.0,0.0,0.0,0.0,1.4652229336693579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.51312107137101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.3411478556462,0.0,0.0,0.0,1.4652229336693579,0.0,0.0,0.0,17.582675204032295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4652229336693579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9304458673387157,0.0,0.0,0.0,4.395668801008074,0.0,1.4652229336693579,1.4652229336693579,0.0,0.0,0.0,0.0,0.0,0.0,5.860891734677431,0.0,0.0,2.9304458673387157,0.0,0.0,1.4652229336693579,0.0,1.4652229336693579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4652229336693579,0.0,0.0,0.0,8.791337602016148,0.0,0.0,0.0,0.0,2.9304458673387157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4652229336693579,0.0,0.0,0.0,0.0,0.0,10.256560535685505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.860891734677431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4652229336693579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.304458673387156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.860891734677431,0.0,2.9304458673387157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1825
1826,0.0,0.0,15.522034233140955,0.0,0.0,0.0,0.0,0.0,0.0,7.055470105973161,0.0,0.0,0.0,0.0,0.0,1.4110940211946321,1.4110940211946321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110940211946321,0.0,1.4110940211946321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.233282063583896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.110940211946321,1.4110940211946321,0.0,0.0,1.4110940211946321,0.0,0.0,0.0,0.0,0.0,492.4718133969266,0.0,0.0,0.0,1.4110940211946321,0.0,2.8221880423892642,1.4110940211946321,11.288752169557057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110940211946321,0.0,0.0,1.4110940211946321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110940211946321,0.0,2.8221880423892642,0.0,0.0,5.6443760847785285,0.0,0.0,1.4110940211946321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.233282063583896,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110940211946321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110940211946321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.055470105973161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110940211946321,0.0,0.0,0.0,0.0,0.0,1.4110940211946321,0.0,1.4110940211946321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.988598360308746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110940211946321,4.233282063583896,0.0,1.4110940211946321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4110940211946321,0.0,0.0,0.0,0.0,0.0,0.0,1826
1827,0.0,0.0,19.498878814468167,0.0,0.0,0.0,0.0,0.0,0.0,1.949887881446817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.849663644340451,0.0,0.0,0.0,0.0,1.949887881446817,0.0,0.0,0.0,0.0,0.0,0.0,1.949887881446817,0.0,0.0,0.0,0.0,7.799551525787268,0.0,0.0,0.0,0.0,0.0,1.949887881446817,0.0,33.14809398459589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,469.9229794286828,0.0,0.0,0.0,0.0,0.0,1.949887881446817,1.949887881446817,9.749439407234084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.949887881446817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.899775762893634,1.949887881446817,0.0,0.0,0.0,0.0,0.0,0.0,3.899775762893634,0.0,13.649215170127718,1.949887881446817,0.0,0.0,0.0,0.0,0.0,0.0,3.899775762893634,3.899775762893634,0.0,3.899775762893634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.949887881446817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.949887881446817,0.0,0.0,0.0,0.0,0.0,3.899775762893634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.899775762893634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.949887881446817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.899775762893634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.949887881446817,0.0,3.899775762893634,0.0,0.0,0.0,0.0,0.0,1.949887881446817,1.949887881446817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.248318221702252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.949887881446817,0.0,7.799551525787268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.949887881446817,0.0,0.0,0.0,0.0,0.0,0.0,1827
1829,0.0,0.0,19.46609208132799,0.0,0.0,0.0,0.0,0.0,0.0,1.3424891090571027,0.0,0.0,0.0,0.0,0.0,1.3424891090571027,0.0,0.0,0.0,0.6712445545285514,0.0,0.0,0.0,0.0,0.0,2.6849782181142055,0.0,1.3424891090571027,0.0,0.0,2.013733663585654,0.0,0.0,0.0,0.0,0.0,0.0,2.6849782181142055,0.0,0.0,0.0,0.0,4.027467327171308,0.6712445545285514,0.0,0.0,0.0,0.0,0.0,0.0,14.76738019962813,0.0,0.0,0.0,1.3424891090571027,0.0,0.0,0.6712445545285514,0.0,0.0,482.6248347060284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.6592158521114,0.6712445545285514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6712445545285514,0.0,0.0,3.3562227726427567,0.0,2.013733663585654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.068668317928271,0.0,0.0,0.0,1.3424891090571027,0.0,0.0,6.041200990756963,0.0,2.013733663585654,0.0,0.0,0.0,0.0,7.383690099814065,0.0,0.6712445545285514,4.027467327171308,0.0,0.0,0.0,0.0,0.6712445545285514,0.0,0.6712445545285514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.013733663585654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3424891090571027,0.0,0.0,0.0,7.383690099814065,0.0,0.0,0.0,0.0,4.027467327171308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.726179208871168,0.0,0.0,0.6712445545285514,0.0,0.0,0.0,0.0,0.0,0.0,1.3424891090571027,0.6712445545285514,0.0,20.137336635856542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3424891090571027,0.6712445545285514,0.0,0.0,1.3424891090571027,0.0,4.698711881699859,3.3562227726427567,0.6712445545285514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.192271290199162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6849782181142055,0.0,2.6849782181142055,0.0,0.0,0.0,0.0,0.0,0.0,1.3424891090571027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1829
1830,0.0,0.0,20.108207290481907,0.0,0.0,0.0,0.0,0.0,2.5135259113102384,5.027051822620477,0.0,0.0,0.0,0.0,0.0,0.6283814778275596,1.2567629556551192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.682485123068512,0.0,0.6283814778275596,0.0,0.0,3.1419073891377978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6283814778275596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.878496157447263,0.0,0.0,0.0,1.2567629556551192,0.0,0.0,0.0,0.0,0.0,379.54241260784596,0.0,0.0,0.0,3.1419073891377978,0.0,1.2567629556551192,0.0,84.83149950672053,2.5135259113102384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5135259113102384,0.0,0.6283814778275596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6283814778275596,0.0,0.0,0.0,1.2567629556551192,0.0,0.6283814778275596,0.6283814778275596,0.0,1.2567629556551192,0.0,0.0,0.0,0.0,3.770288866965357,0.6283814778275596,0.0,5.655433300448037,0.0,0.6283814778275596,0.6283814778275596,0.0,1.2567629556551192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2567629556551192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6283814778275596,0.0,0.0,0.0,3.770288866965357,0.0,0.0,0.0,0.0,2.5135259113102384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.2838147782755955,0.0,0.0,1.2567629556551192,0.0,0.0,0.0,0.0,0.0,0.0,0.6283814778275596,0.6283814778275596,0.0,16.337918423516548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8851444334826786,0.6283814778275596,0.0,0.0,0.6283814778275596,0.0,3.1419073891377978,1.2567629556551192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.594681379171668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2567629556551192,5.027051822620477,0.0,3.1419073891377978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1830
